gem_id,plant_name,country,parent_raw,ret_year,event_date,capacity_mw,lat,lon,matched_gvkeys,is_matched,is_first_mover,announcement_date,announcement_source
G100000110944,Will County Generating Station,United States,NRG Energy Inc [100.0%],2022,,598.4,41.633011,-88.061897,135990,True,False,,
G100000112417,Zimmer Generating Station,United States,Vistra Corp [100.0%],2022,,1425.6,38.868922,-84.228528,157373,True,False,,
G100000106281,Liddell power station,Australia,AGL Energy Ltd [100.0%],2023,,500.0,-32.3716,150.978421,100251,True,False,,
G100000106282,Liddell power station,Australia,AGL Energy Ltd [100.0%],2023,,500.0,-32.3716,150.978421,100251,True,False,,
G100000106284,Liddell power station,Australia,AGL Energy Ltd [100.0%],2023,,500.0,-32.3716,150.978421,100251,True,False,,
G100000110968,Worsley Refinery power station,Australia,South32 Ltd [86.0%]; Japan Alumina Associates (Australia) Pty Ltd [10.0%]; small shareholder(s) [4.0%],2023,,34.0,-33.23519,116.068694,,False,False,,
G100000102983,Genesee power station,Canada,Capital Power Generation Services Inc [100.0%],2023,,466.0,53.343254,-114.304763,183187,True,False,,
G100000103515,H.R. Milner power station,Canada,Maxim Power Corp [100.0%],2023,,150.0,54.007659,-119.103559,123456,True,False,,
G100000110580,Ventanas power station,Chile,Quintero Energía SpA [100.0%],2023,,220.0,-32.7512,-71.4825,,False,False,,
G100000103079,APP Jinhuasheng Mill power station,China,Fulong Investment Group [98.1%]; unknown [1.9%],2023,,50.0,31.306491,120.845299,,False,False,,
G100000103080,APP Jinhuasheng Mill power station,China,Fulong Investment Group [98.1%]; unknown [1.9%],2023,,50.0,31.306491,120.845299,,False,False,,
G100000112835,APP Jinhuasheng Mill power station,China,Fulong Investment Group [98.1%]; unknown [1.9%],2023,,100.0,31.306491,120.845299,,False,False,,
G100000115274,Asia Symbol captive power station,China,Singapore Asia Pacific Symbo Rizhao Co Ltd (ASIA SYMBOL RIZHAO PTE.LTD) [90.0%]; AP Trading Enterprise [9.3%]; unknown [0.7%],2023,,35.0,35.374797,119.50857,,False,False,,
G100001018162,Asia Symbol captive power station,China,Singapore Asia Pacific Symbo Rizhao Co Ltd (ASIA SYMBOL RIZHAO PTE.LTD) [90.0%]; AP Trading Enterprise [9.3%]; unknown [0.7%],2023,,92.4,35.374797,119.50857,,False,False,,
G100000115275,Asia Symbol captive power station,China,Singapore Asia Pacific Symbo Rizhao Co Ltd (ASIA SYMBOL RIZHAO PTE.LTD) [90.0%]; AP Trading Enterprise [9.3%]; unknown [0.7%],2023,,92.4,35.374797,119.50857,,False,False,,
G100000100441,Baiyanghe power station,China,Huaneng Power International Inc [80.0%]; China Huaneng Group Co Ltd [20.0%],2023,,145.0,36.471944,117.8425,030747,True,False,,
G100000100442,Baiyanghe power station,China,Huaneng Power International Inc [80.0%]; China Huaneng Group Co Ltd [20.0%],2023,,145.0,36.471944,117.8425,030747,True,False,,
G100000112868,Huaneng Jining Gaoxin cogen power station,China,Huaneng Power International Inc [40.0%]; Shandong Ruyi International Fashion Industry Investment Holding Co Ltd [39.7%]; China Huaneng Group Co Ltd [10.0%]; ITOCHU Corp [5.9%]; Australia Maid International Trade [3.3%]; unknown [1.1%],2023,,30.0,35.46868,116.705652,030747,True,False,,
G100000112869,Huaneng Jining Gaoxin cogen power station,China,Huaneng Power International Inc [40.0%]; Shandong Ruyi International Fashion Industry Investment Holding Co Ltd [39.7%]; China Huaneng Group Co Ltd [10.0%]; ITOCHU Corp [5.9%]; Australia Maid International Trade [3.3%]; unknown [1.1%],2023,,30.0,35.46868,116.705652,030747,True,False,,
G100000104645,Huangdao power station,China,China Datang Corp Ltd [80.0%]; Qingdao Guoxin Development (Group) Co Ltd [20.0%],2023,,225.0,36.038333,120.219444,,False,False,,
G100000105206,Jingling Sinopec power station,China,China Petrochemical Corp [100.0%],2023,,50.0,32.154362,118.906543,,False,False,,
G100000105207,Jingling Sinopec power station,China,China Petrochemical Corp [100.0%],2023,,50.0,32.154362,118.906543,,False,False,,
G100001000216,JV County Fengyuan cogen power station,China,Haoyu Group Co Ltd [54.5%]; natural person(s) [19.6%]; Juxian Urban Construction Investment Group Co Ltd [19.0%]; Agricultural Development Bank of China [6.9%],2023,,30.0,35.627929,118.848185,,False,False,,
G100001000217,JV County Fengyuan cogen power station,China,Haoyu Group Co Ltd [54.5%]; natural person(s) [19.6%]; Juxian Urban Construction Investment Group Co Ltd [19.0%]; Agricultural Development Bank of China [6.9%],2023,,30.0,35.627929,118.848185,,False,False,,
G100001000218,JV County Fengyuan cogen power station,China,Haoyu Group Co Ltd [54.5%]; natural person(s) [19.6%]; Juxian Urban Construction Investment Group Co Ltd [19.0%]; Agricultural Development Bank of China [6.9%],2023,,30.0,35.627929,118.848185,,False,False,,
