gem_id,plant_name,country,ret_year,wiki_url,extracted_date,date_precision,raw_snippet
G100000107170,Naga power station,Philippines,2015,https://www.gem.wiki/Naga_power_station,,,
G100000107171,Naga power station,Philippines,2015,https://www.gem.wiki/Naga_power_station,,,
G100000107354,Nelson Dewey Generating Station,United States,2015,https://www.gem.wiki/Nelson_Dewey_Generating_Station,,,
G100000107355,Nelson Dewey Generating Station,United States,2015,https://www.gem.wiki/Nelson_Dewey_Generating_Station,,,
G100000107533,Novaky power station,Slovakia,2015,https://www.gem.wiki/Novaky_power_station,2015-12-31,day,"In 2015, in order to meet the emission limits that would commence on January 1, 2016, Units 1 and 2 were modernized for a total of 40 million Euros, while Units 3 and 4 were shut down on December 31, "
G100000107534,Novaky power station,Slovakia,2015,https://www.gem.wiki/Novaky_power_station,2015-12-31,day,"In 2015, in order to meet the emission limits that would commence on January 1, 2016, Units 1 and 2 were modernized for a total of 40 million Euros, while Units 3 and 4 were shut down on December 31, "
G100000107628,Omsk CHP-4 power station,Russia,2015,https://www.gem.wiki/Omsk_CHP-4_power_station,,,
G100000107760,Panipat power station,India,2016,https://www.gem.wiki/Panipat_power_station,,,
G100000107761,Panipat power station,India,2016,https://www.gem.wiki/Panipat_power_station,,,
G100000107762,Panipat power station,India,2016,https://www.gem.wiki/Panipat_power_station,,,
G100000107763,Panipat power station,India,2016,https://www.gem.wiki/Panipat_power_station,,,
G100000107855,Patache power station,Chile,2019,https://www.gem.wiki/Patache_power_station,2019-07-15,month,[3] In July 2019 Enel received permission from the Chilean government to close the plant as of Dec
G100000107965,Philip Sporn Power Plant,United States,2015,https://www.gem.wiki/Philip_Sporn_Power_Plant,2015-05-29,day,"↑ “End of an Era: 3 Coal-Fired Plants Shut down Sunday,” WV MetroNews, May 29, 2015"
G100000107966,Philip Sporn Power Plant,United States,2015,https://www.gem.wiki/Philip_Sporn_Power_Plant,2015-05-29,day,"↑ “End of an Era: 3 Coal-Fired Plants Shut down Sunday,” WV MetroNews, May 29, 2015"
G100000107967,Philip Sporn Power Plant,United States,2015,https://www.gem.wiki/Philip_Sporn_Power_Plant,2015-05-29,day,"↑ “End of an Era: 3 Coal-Fired Plants Shut down Sunday,” WV MetroNews, May 29, 2015"
G100000107968,Philip Sporn Power Plant,United States,2015,https://www.gem.wiki/Philip_Sporn_Power_Plant,2015-05-29,day,"↑ “End of an Era: 3 Coal-Fired Plants Shut down Sunday,” WV MetroNews, May 29, 2015"
G100000107977,Picway Power Plant,United States,2015,https://www.gem.wiki/Picway_Power_Plant,2015-05-15,month,Picway was shut down in May 2015
G100000108104,Porto Marghera Enel power station,Italy,2015,https://www.gem.wiki/Porto_Marghera_Enel_power_station,,,
G100000108105,Porto Marghera Enel power station,Italy,2015,https://www.gem.wiki/Porto_Marghera_Enel_power_station,,,
G100000108182,Ptolemaïda power station,Greece,2016,https://www.gem.wiki/Ptolema%C3%AFda_power_station,,,
G100000108183,Ptolemaïda power station,Greece,2016,https://www.gem.wiki/Ptolema%C3%AFda_power_station,,,
G100000108184,Ptolemaïda power station,Greece,2016,https://www.gem.wiki/Ptolema%C3%AFda_power_station,,,
G100000108205,Puertollano IGCC power station,Spain,2016,https://www.gem.wiki/Puertollano_IGCC_power_station,2017-06-15,month,"[3][4] Along with other relevant governmental entities, the Castilla-La Mancha Community Board approved the closure of the plant in June 2017, formalizing the shutdown"
G100000108230,Pulliam Power Plant,United States,2015,https://www.gem.wiki/Pulliam_Power_Plant,,,
G100000108231,Pulliam Power Plant,United States,2015,https://www.gem.wiki/Pulliam_Power_Plant,,,
G100000108588,River Rouge Power Plant,United States,2015,https://www.gem.wiki/River_Rouge_Power_Plant,2016-06-08,day,"↑ ""DTE Plans To Shut Down 8 Coal-Fired Units At 3 Plants,"" CBS Detroit, June 8, 2016"
G100000108725,Sakhalin GRES-1 power station,Russia,2019,https://www.gem.wiki/Sakhalin_GRES-1_power_station,2019-11-15,month,After the new Sakhalin GRES-2 power station was commissioned in November 2019 the plant's remaining 2 units were fully retired on Dec
G100000108726,Sakhalin GRES-1 power station,Russia,2019,https://www.gem.wiki/Sakhalin_GRES-1_power_station,2019-11-15,month,After the new Sakhalin GRES-2 power station was commissioned in November 2019 the plant's remaining 2 units were fully retired on Dec
G100000108883,Scholz Generating Plant,United States,2015,https://www.gem.wiki/Scholz_Generating_Plant,,,
G100000108884,Scholz Generating Plant,United States,2015,https://www.gem.wiki/Scholz_Generating_Plant,,,
G100000108931,Serovskaya power station,Russia,2015,https://www.gem.wiki/Serovskaya_power_station,,,
G100000109319,Shuangyashan power station,China,2018,https://www.gem.wiki/Shuangyashan_power_station,2018-12-15,month,[2] Unit 2 was retired in December 2018
G100000109543,Soto de Ribera power station,Spain,2015,https://www.gem.wiki/Soto_de_Ribera_power_station,,,
G100000113001,Stoneman Generating Station,United States,2015,https://www.gem.wiki/Stoneman_Generating_Station,,,
G100000109786,Syl Laskin Energy Center,United States,2015,https://www.gem.wiki/Syl_Laskin_Energy_Center,,,
G100000109787,Syl Laskin Energy Center,United States,2015,https://www.gem.wiki/Syl_Laskin_Energy_Center,,,
G100000109799,Taconite Harbor Energy Center,United States,2015,https://www.gem.wiki/Taconite_Harbor_Energy_Center,2015-05-15,month,Unit 3 was retired in May 2015
G100000109940,Tangshan West power station,China,2015,https://www.gem.wiki/Tangshan_West_power_station,,,
G100000109993,Tecumseh Energy Center,United States,2015,https://www.gem.wiki/Tecumseh_Energy_Center,,,
G100000110209,Tocopilla power station,Chile,2019,https://www.gem.wiki/Tocopilla_power_station,2019-12-15,month,[26] In December 2019 Engie announced that Units 14 and 15 would be retired in January 2022 instead of a previously planned date of May 2024
