shock_id,shock_name,jurisdiction,event_date,legal_date,instrument_type,binding,exogeneity_tier,affected_countries,matched_gvkeys,is_first_mover,source
NL_COAL_BAN,Wet verbod op kolen bij elektriciteitsproductie,Netherlands,2019-12-10,2019-12-20,National law,yes,1,NLD,200478;346354,True,Staatsblad 2019 493
FR_ENERGY_CLIMATE,Loi energie et climat No. 2019-1147,France,2019-09-26,2019-11-08,National law,yes,1,FRA,103167;220920;220942;238717;270655;282550;328809;335545;349514;353597;356819,True,Legifrance JORFTEXT000039355955
FI_COAL_BAN,Law 416/2019 coal energy ban,Finland,2019-03-06,2019-04-01,National law,yes,1,FIN,225597,True,Finnish Government Gazette
GR_CLIMATE_LAW,National Climate Law 4936/2022,Greece,2022-05-26,2022-05-27,National law,yes,1,GRC,249638;324808;330559,True,Government Gazette 105/A/27-05-2022
US_NM_SB489,SB 489 Energy Transition Act,New Mexico,2019-03-22,,State law,yes,1,USA,001075;014390,True,NM Governor's Office
US_CO_SB236,SB 19-236 Clean Energy Plans,Colorado,2019-05-30,,State law,yes,1,USA,007977,True,CO Energy Office
US_VA_VCEA,Virginia Clean Economy Act HB 1526,Virginia,2020-04-12,,State law,yes,1,USA,004029;127675,True,VA Legislature
US_IL_CEJA,Climate and Equitable Jobs Act PA 102-0662,Illinois,2021-09-15,,State law,yes,1,USA,006397;135990;157373,True,IL Governor's Office
US_NC_HB951,HB 951 Energy Solutions,North Carolina,2021-10-13,,State law,yes,1,USA,004093,True,NC General Assembly
US_MN_SF4,SF 4 100% Clean Energy Standard,Minnesota,2023-02-07,,State law,yes,1,USA,007437;007977;156820,True,MN Dept of Commerce
PH_COAL_MORAT,DOE Moratorium on Greenfield Coal,Philippines,2020-10-27,2020-12-22,Ministerial advisory,yes,1,PHL,030282;200496;202215;206024;206042;244741;253727;271146;285367;351744;353306;356307;356860;360898;362238,True,DOE Philippines
JP_METI_COAL,METI Inefficient Coal Phase-out,Japan,2020-07-03,,Ministerial announcement,no,2,JPN,100302;100365;100439;100450;100488;100688;100690;101769;102311;205365;249512;271031;271454;272255;329064;351362;361022;366608,False,METI press conference
JP_6TH_ENERGY,6th Strategic Energy Plan,Japan,2021-10-22,,Cabinet decision,yes,2,JPN,100302;100365;100439;100450;100488;100688;100690;101769;102311;205365;249512;271031;271454;272255;329064;351362;361022;366608,False,Cabinet Decision
ID_PR112,Presidential Regulation 112/2022,Indonesia,2022-09-13,,Presidential regulation,yes,1,IDN,326152;333449;353723;355999;358792;365517;367728,True,Perpres 112/2022
VN_PDP8,Power Development Plan VIII Decision 500/QD-TTg,Vietnam,2023-05-15,,Prime ministerial decision,yes,1,VNM,283061;283066;288013;290760;290769;290781;290987;291049;292210;293416;297621;298558;315280;317460;324629;326582;326989;329425;330561;332636;333819;340032;346114;359736,True,Decision 500/QD-TTg
KR_10TH_PLAN,10th Basic Plan Electricity Supply and Demand,South Korea,2023-01-13,,Administrative plan,no,3,KOR,030874;208929;245877;296299;352345;360468;362004,False,MOTIE
BD_COAL_CANCEL,Power Division Coal Project Cancellations,Bangladesh,2021-06-27,,Administrative decision,yes,2,BGD,281448;287783;321497;349618,False,Power Division
