gvkey,ric,free_float_pct,concentrated_ownership_pct,shares_outstanding,us_listed
233257,ACE.MI,24.0683,75.9317,212547907.0,0
233435,ROH2O.BX,19.9439,80.0561,449802567.0,0
234117,REDE.MC,74.9918,25.008200000000002,540926383.0,0
238717,ITXA.PA,2.09,97.91,1012000.0,0
239577,AKENR.IS,25.2772,74.7228,729164000.0,0
239650,KGN.WA,41.9317,58.0683,14900000.0,0
241061,ISAE4.SA,66.5092,33.49079999999999,400945572.0,0
241845,REHN.S,28.1706,71.82939999999999,25657875.0,0
243533,RATCH.BK,39.3389,60.6611,2174999985.0,0
243794,600868.SS,87.8564,12.143600000000006,1898148679.0,0
243860,600674.SS,31.9,68.1,4874606828.0,0
244341,IREE.MI,47.834,52.166,1283075732.0,0
244394,MVVGn.DE,4.82,95.18,65906796.0,0
244741,CPG.PS,34.8399,65.1601,11599600690.0,0
244742,EKTR4.SA,58.77,41.23,101878293.0,0
245201,REDE3.SA,24.58,75.42,2568204239.0,0
245343,ENMT4.SA,74.15,25.849999999999994,143412165.0,0
245576,COCE5.SA,23.9831,76.01689999999999,31210514.0,0
245877,016710.KS,27.0444,72.9556,16041444.0,0
246598,AYEN.IS,16.9683,83.0317,277500000.0,0
246858,AKSUE.IS,87.9761,12.023899999999998,66000000.0,0
247280,ONES.OM,39.307,60.693,150000000.0,0
247493,GETD.NS,48.2581,51.7419,256046535.0,0
248166,MNVG.F,24.6307,75.3693,81922.0,0
248838,CEL.CN,38.4987,61.5013,1032915620.0,0
249448,ISA.CN,38.0641,61.9359,1107677894.0,0
249512,9543.T,53.6169,46.3831,75406157.0,0
249638,DEHr.AT,52.9039,47.0961,346548043.0,0
249946,000543.SZ,42.0449,57.9551,2266863331.0,0
251319,600236.SS,5.3879,94.6121,7882377802.0,0
251373,000767.SZ,42.7003,57.2997,3076942219.0,0
251378,000027.SZ,23.8545,76.1455,4757389916.0,0
251720,2688.HK,65.6872,34.312799999999996,1131839264.0,0
252586,0686.HK,44.1624,55.8376,2198864443.0,0
253727,SPC.PS,7.4143,92.5857,1496551803.0,0
254858,TRANm.BA,100.0,0.0,217890147.0,0
256498,ATIC.SI,19.9896,80.0104,3233422455.0,0
257082,000531.SZ,32.9484,67.05160000000001,1041401332.0,0
258639,QEWC.QA,44.9514,55.0486,1100000000.0,0
259541,600900.SS,40.0716,59.9284,24468217716.0,0
259984,000601.SZ,65.9885,34.0115,1064343324.0,0
260021,600744.SS,44.1078,55.8922,2031124274.0,0
260062,000875.SZ,58.782,41.218,3627270626.0,0
260071,600644.SS,55.6628,44.3372,578320818.0,0
260176,000692.SZ,64.3107,35.6893,532832976.0,0
260185,000155.SZ,47.102,52.898,1846168342.0,0
267054,EDNm.BA,45.0489,54.9511,442210385.0,1
268325,NTPC.NS,46.7247,53.2753,9696666134.0,0
268629,VCT.NZ,24.0345,75.96549999999999,999985540.0,0
268844,ENGI11.SA,100.0,0.0,458768500.0,0
269005,CPFE3.SA,16.2926,83.7074,1152254440.0,1
269269,NHPC.NS,31.5117,68.4883,10045034805.0,0
