gvkey,fdate,total_inst_shares,n_managers,hhi_managers,top5_concentration,shrout_thousands,inst_pct,inst_pct_capped
001075,2008-03-31,84654593.0,288,0.04719324022694023,0.43215150771559435,100499.0,842.3426402252759,1.0
001075,2008-06-30,79713890.0,277,0.051958491439918,0.4447912402719275,100634.0,792.1168789872211,1.0
001075,2008-09-30,79003311.0,261,0.05277250670477459,0.4515441890783539,100734.0,784.2765203406992,1.0
001075,2008-12-31,77606359.0,280,0.052930780244019586,0.461872460734822,100815.0,769.7898031046967,1.0
001075,2009-03-31,78471859.0,275,0.057185332457882355,0.4804346230665951,100991.0,777.0183382677665,1.0
001075,2009-06-30,79062194.0,266,0.04884955925466204,0.4329165213907421,101083.0,782.1512420486135,1.0
001075,2009-09-30,78637928.0,259,0.048509554843704845,0.42694993184459284,101201.0,777.0469461764212,1.0
001075,2009-12-31,77182974.0,283,0.04444941075651145,0.41692544783257507,101281.0,762.0676533604526,1.0
001075,2010-03-31,77254006.0,289,0.039592914228569996,0.3936066823512039,101445.0,761.5358667258121,1.0
001075,2010-06-30,80828763.0,300,0.03839639732244961,0.3863954345064021,108447.0,745.3296356745691,1.0
001075,2010-09-30,80941236.0,309,0.03969757714475099,0.3997627365117083,108642.0,745.0271165847462,1.0
001075,2010-12-31,77138863.0,310,0.042518489948833546,0.41782564256877885,108712.0,709.5708201486497,1.0
001075,2011-03-31,80392006.0,345,0.04181536049005568,0.40500265660742435,108948.0,737.8933619708484,1.0
001075,2011-06-30,82812421.0,337,0.04203366353622037,0.40591546043557886,108948.0,760.1096027462643,1.0
001075,2011-09-30,80582090.0,338,0.04369069265464494,0.4149250782649097,109111.0,738.533145145769,1.0
001075,2011-12-31,80727991.0,354,0.044265636479316285,0.42709348483600934,109181.0,739.3959663311382,1.0
001075,2012-03-31,80531172.0,346,0.04535515095349034,0.4362707275637315,109366.0,736.345591865845,1.0
001075,2012-06-30,82084778.0,351,0.04333819370308913,0.426119858666122,109477.0,749.7901659709345,1.0
001075,2012-09-30,82171750.0,353,0.04405345734767132,0.4186060902925884,109477.0,750.5845976780511,1.0
001075,2012-12-31,85163485.0,358,0.04245460983582476,0.42127806301022086,109477.0,777.9121185271792,1.0
001075,2013-03-31,83312486.0,370,0.04385159161059067,0.42842196546625677,109942.0,757.7857961470594,1.0
001075,2013-06-30,85030259.0,392,0.040109329127912714,0.40830463658825267,109947.0,773.3749806725059,1.0
001075,2013-09-30,86071346.0,394,0.040010061686638794,0.4058134980252313,109997.0,782.4881224033383,1.0
