tau,diff_high_low
-6,0.00696854467940387
-5,0.010791415295170309
-4,0.006614148425259014
-3,0.0019767487783054587
-2,-0.0004743104460450294
-1,0.01641855970007247
0,-0.0004170025304360836
1,0.017890603756097558
2,0.002730329590074458
3,-0.0026659073821111608
4,-0.010550525451721438
5,-0.009808296843816988
6,0.009194245719072609
7,0.026586893586616405
8,0.006581679501451283
9,0.034561452765358505
10,-0.012473447501155812
11,0.02667072277426478
12,-0.012711015218705907
