event_id,n_firms,exposure_min,exposure_median,exposure_max
Sarawak-W.Kalimantan,414,5.927988462047881e-16,1.108371847336638e-09,634065806696.1282
India-Bangladesh Bheramara,414,8.48247732530764e-15,8.317214472219917e-08,0.0028248237448269824
IFA2,414,1.8775057619873908e-11,3.9845337706868624e-06,0.007899727143698847
NordLink,414,1.9600303605140608e-15,1.2856302535852464e-08,0.024377229161332746
North Sea Link,414,1.4543753113246495e-12,4.0437695500007446e-06,0.024149252758431158
ElecLink,414,1.8775057619873908e-11,3.9845337706868624e-06,0.007899727143698847
