event_id,mean,se,t,N_events
Sarawak-W.Kalimantan,0.13325914511379203,0.07849292709682339,1.6977216934388606,4
IFA2,0.0628580231350431,0.08796334189503908,0.7145933951673582,4
NordLink,0.13553144393143912,0.07638738418853501,1.7742647607480326,4
North Sea Link,0.04469975162945891,0.07391890094138956,0.6047134232271856,4
ElecLink,0.08035681270810249,0.09427935923424327,0.8523266742665349,4
