gvkey,month_end,log_size,log_bm,mom12_2,size_t,bm_t,mom_t
001075,2008-01-31,15.16322358948165,,,2,,
001075,2008-02-29,15.088843212432257,,,2,,
001075,2008-03-31,15.07553422368699,,,2,,
001075,2008-04-30,15.04370058385139,,,2,,
001075,2008-05-31,15.0391143630947,,,2,,
001075,2008-06-30,14.945785641048996,0.4331930242256786,,2,3,
001075,2008-07-31,15.033593470843169,0.3453851944315066,,2,3,
001075,2008-08-31,15.081000609597947,0.29797805567672836,,2,3,
001075,2008-09-30,15.058585878073842,0.3203927872008333,,2,3,
001075,2008-10-31,14.974976806854638,0.404001858420037,,2,3,
001075,2008-11-30,14.935485041484352,0.4434936237903232,,2,3,
001075,2008-12-31,14.990832606199943,0.38814605907473204,,2,3,
001075,2009-01-31,15.03169194829541,0.347286716979264,-0.23777205305325622,2,3,2
001075,2009-02-28,14.790833551816721,0.5881451134579544,-0.12017307135599442,2,3,2
001075,2009-03-31,14.802193007550304,0.5767856577243715,0.0026458286306905165,2,3,3
001075,2009-04-30,14.833371550747284,0.5456071145273906,-0.20280112390400018,2,3,3
001075,2009-05-31,14.84332296849186,0.535655696782815,-0.1792747886525612,2,3,3
001075,2009-06-30,14.92988216369671,0.46446214025730453,-0.13366528088520435,2,3,3
001075,2009-07-31,14.98818236142159,0.40616194253242494,-0.039540506599598624,2,3,3
001075,2009-08-31,15.018640480164855,0.37570382378916073,-0.055307616470533394,2,3,3
001075,2009-09-30,15.01590200287155,0.37844230108246446,-0.029123484492155294,2,3,3
001075,2009-10-31,14.969910982069555,0.42443332188446026,0.022393922969191404,2,3,3
001075,2009-11-30,15.083570300542076,0.31077400341193867,0.09059064791785221,2,3,2
001075,2009-12-31,15.125155753909672,0.2691885500443429,0.10130825755865946,2,3,3
001075,2010-01-31,15.104160507579518,0.29018379637449687,0.16743777473369037,2,3,3
001075,2010-02-28,15.122115520864492,0.27222878308952336,0.15054002257149457,2,3,2
001075,2010-03-31,15.15772759265337,0.23661671130064627,0.45685990181321157,2,3,3
001075,2010-04-30,15.205655391491513,0.18868891246250216,0.46413088971418937,2,3,3
001075,2010-05-31,15.152502843535459,0.2418414604185576,0.44414044954821197,2,3,3
001075,2010-06-30,15.187486122664396,0.19917962652867333,0.4350161792477658,2,2,3
001075,2010-07-31,15.23396863384563,0.15269711534743866,0.23743248611437706,2,2,3
001075,2010-08-31,15.280935757284922,0.10572999190814668,0.18952714564520234,2,2,3
001075,2010-09-30,15.315949195813188,0.07071655337988003,0.22676073405561414,2,2,3
001075,2010-10-31,15.313924373566183,0.07274137562688612,0.286961579735153,2,2,3
001075,2010-11-30,15.295782174575809,0.0908835746172599,0.3741201327826251,2,2,3
001075,2010-12-31,15.320945344181638,0.0657204050114309,0.23884323877434666,2,2,3
001075,2011-01-31,15.302931225115222,0.08373452407784743,0.16702057401642145,2,2,3
001075,2011-02-28,15.340222834746886,0.04644291444618287,0.2046272827140252,2,2,2
001075,2011-03-31,15.353396396229758,0.033269352963309407,0.1788733371431992,2,2,2
001075,2011-04-30,15.36948811216328,0.0171776370297875,0.18010931605262503,2,2,2
001075,2011-05-31,15.411682752558413,-0.025017003365344577,0.19161200053361638,2,2,3
001075,2011-06-30,15.396544440310745,0.12678095715723234,0.3007784729651175,2,2,2
001075,2011-07-31,15.345227533451085,0.17809786401689148,0.31019068551486795,2,2,2
001075,2011-08-31,15.389750348884006,0.13357504858397087,0.21521468814989575,2,2,2
