spec,variable,beta,se,t
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_cond,0.14192,0.240396,0.59
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_1,-0.096747,0.049798,-1.94
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_2,-0.100435,0.049489,-2.03
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_3,-0.273767,0.090547,-3.02
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_4,-0.027536,0.148624,-0.19
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_5,-0.24086,0.100335,-2.4
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,-0.199019,0.092941,-2.14
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,0.193704,0.163427,1.19
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),treated,-0.184042,0.240193,-0.77
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),conditional,0.034042,0.118639,0.29
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_cond,0.157842,0.232794,0.68
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,-0.195092,0.082757,-2.36
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,0.222838,0.140079,1.59
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),treated,-0.185566,0.240646,-0.77
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),intercept,-0.15526,81037822.59317,-0.0
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exposure,-0.118758,0.349877,-0.34
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),treated,0.014417,0.490379,0.03
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),alpha_slope_z,0.042498,0.076249,0.56
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),exp_x_slope_z,-0.14259,0.356175,-0.4
SPEC T2: Exposure x alpha_slope_z x free_float (monthly),shock_1,-0.087011,81271193.335763,-0.0
