event_id,event_n,event_r2,beta_fuel,beta_geo,beta_reg,beta_same_sector
0,413,0.032484,-3.578672,-1.865870,-6.309548,0.042427
3,836,0.101021,-5.862100,12.265697,12.185749,0.039392
4,836,0.018781,2.021793,3.475618,0.690773,0.061598
5,836,0.101021,-5.862100,12.265697,12.185749,0.039392
6,836,0.101021,-5.862100,12.265697,12.185749,0.039392
7,836,0.101021,-5.862100,12.265697,12.185749,0.039392
8,836,0.101021,-5.862100,12.265697,12.185749,0.039392
9,418,0.078418,-4.496849,2.662912,13.124016,0.044008
10,418,0.078418,-4.496849,2.662912,13.124016,0.044008
11,418,0.078418,-4.496849,2.662912,13.124016,0.044008
12,120,0.019200,-4.488900,1.392545,-2.818994,0.039825
13,120,0.019200,-4.488900,1.392545,-2.818994,0.039825
14,120,0.019200,-4.488900,1.392545,-2.818994,0.039825
15,120,0.019200,-4.488900,1.392545,-2.818994,0.039825
16,120,0.019200,-4.488900,1.392545,-2.818994,0.039825
19,418,0.023537,-9.859262,0.086310,-4.970510,0.050488
20,418,0.020190,-5.049691,0.240216,-5.831173,0.060874
21,418,0.020190,-5.049691,0.240216,-5.831173,0.060874
22,122,0.016861,-1.845821,0.095287,12.121575,0.008028
23,122,0.016861,-1.845821,0.095287,12.121575,0.008028
24,120,0.099854,-14.155105,-10.724683,14.572222,0.100989
