gem_parent,gem_norm,gvkey,conm,fic,isin,match_type,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,total_mw,alpha
Jilin Electric Power Co Ltd,jilin electric power,066624,TUCSON ELECTRIC POWER CO,USA,,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,100488,KYUSHU ELECTRIC POWER CO INC,JPN,JP3246400000,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,155277,POTOMAC ELECTRIC POWER CO,USA,,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,101769,SHIKOKU ELECTRIC POWER CO,JPN,JP3350800003,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,102311,HOKURIKU ELECTRIC POWER CO,JPN,JP3845400005,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,013353,WISCONSIN ELECTRIC POWER CO,USA,,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,100302,KANSAI ELECTRIC POWER CO,JPN,JP3228600007,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,030874,KEPCO-KOREA ELEC POWER CORP,KOR,KR7015760002,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,011188,VIRGINIA ELECTRIC & POWER CO,USA,,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,100688,TOKYO ELECTRIC POWER CO HOLD,JPN,JP3585800000,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,100365,HOKKAIDO ELECTRIC POWER CO,JPN,JP3850200001,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
Jilin Electric Power Co Ltd,jilin electric power,001440,AMERICAN ELECTRIC POWER CO,USA,,jaccard_0.50,3900.0,0.0,1537.6,302.4,3900.0,5740.0,0.6794
