gvkey,isin,ric
268325,INE733E01010,NTPC.NS
268629,NZVCTE0001S7,VCT.NZ
268844,BRENGICDAM16,ENGI11.SA
269005,BRCPFEACNOR0,CPFE3.SA
269269,INE848E01016,NHPC.NS
269532,NZGNEE0001S7,GNE.NZ
269554,ROTSELACNOR9,ROTEL.BX
269744,BE0003822393,ELI.BR
269977,KZ1C00000959,KEGC.KZ
270113,CNE000000FT5,000600.SZ
270379,CNE000001GT1,600452.SS
270383,CNE000001HV5,600483.SS
270401,CNE000001H78,600969.SS
270451,IT0003242622,TRN.MI
270503,INE877F01012,PTCI.NS
270698,CNE000001K24,600982.SS
270721,CNE000001JD9,600995.SS
270890,CNE000001L23,600979.SS
271031,JP3551200003,9513.T
271146,PHY6806A1035,PERC.PS
271168,CNE000000TP4,000899.SZ
271174,CNE000000SC4,600101.SS
271454,JP3363000005,1711.T
271486,PK0001201018,DWLP.PSX
271762,CNE0000017N9,600396.SS
271952,CNE000000SN1,600116.SS
272031,CNE000000T42,000791.SZ
272049,CNE000000WZ7,000862.SZ
272146,CNE0000000K1,000591.SZ
272184,CNE000001469,000993.SZ
272200,CNE000001LK0,002039.SZ
272255,JP3802140008,9514.T
272290,CNE000001741,600310.SS
272293,CNE000000P12,000690.SZ
272327,CNE0000019W6,600509.SS
272358,CNE000001BF1,600505.SS
272468,CNE000000TZ3,001896.SZ
272651,BREQPAACNOR1,EQPA3.SA
273010,CI0000000212,CIEC.CI
274166,PK0083101011,KOTA.PSX
274188,RU0009257075,YKEN.MM
274222,SA0007879550,5110.SE
274724,PEP702101002,ENGIEC1.LM
274890,GB00B1VNSX38,DRX.L
275034,OM0000003141,BWPC.OM
275787,BRLIGTACNOR2,LIGT3.SA
277963,SG1T37930313,GLVT.SI
277997,RU000A0D8L73,VGSB.MM
278001,RU000A0DPG67,VRSB.MM
278009,RU000A0D8MM8,ASSB.MM
278027,RU000A0F5UN3,ELFV.MM
278048,RU0006758919,MAGE.MM
278049,RU000A0EABG1,CLSBI.RTS
278054,RU000A0D8K33,MISB.MM
278060,RU000A0D9AF5,RZSB.MM
278074,RU000A0ET7Y7,MSRS.MM
278077,RU000A0ET7Z4,MSSBI.RTS
278085,RU000A0D8760,YRSB.MM
278093,RU000A0ET5A1,NNSB.MM
278333,INE251H01024,GVKP.NS
278335,BREQTLACNOR0,EQTL3.SA
278467,RU000A0ETZF2,TORS.MM
