parent_name,coal_mw,gas_mw,solar_mw,wind_mw,fossil_mw,clean_mw,total_mw,alpha,units
small shareholder(s),2873.1,9481.2,0.0,0.0,12354.3,0.0,12354.3,1.0000,304
Tohoku Electric Power Co Inc,5357.1,6721.0,17.0,225.2,12078.1,242.2,12320.2,0.9803,36
Mosenergo PJSC,0.0,12229.0,0.0,0.0,12229.0,0.0,12229.0,1.0000,78
Iberdrola SA,0.0,7280.3,3191.9,1580.6,7280.3,4772.5,12052.8,0.6040,79
Naturgy Energy Group SA,0.0,8664.1,1024.9,2263.5,8664.1,3288.4,11952.5,0.7249,110
Inner Mongolia MengDian HuaNeng Thermal Power Corp Ltd,11936.5,0.0,0.0,0.0,11936.5,0.0,11936.5,1.0000,52
EDPR Renewable Energy Sources of Greece 1 Sole Proprietorship,0.0,0.0,2394.1,9451.7,0.0,11845.8,11845.8,0.0000,149
Tenaga Nasional Bhd,6810.0,4912.0,80.0,0.0,11722.0,80.0,11802.0,0.9932,28
Vietnam Electricity LLC,9088.0,2126.0,199.0,127.0,11214.0,326.0,11540.0,0.9718,31
Unipro PJSC,2420.0,8920.0,0.0,0.0,11340.0,0.0,11340.0,1.0000,26
Evergy Inc,6123.4,4445.9,0.0,726.2,10569.2,726.2,11295.4,0.9357,61
Shanxi State-Owned Capital Investment and Operation Co Ltd,10662.7,502.4,0.0,0.0,11165.1,0.0,11165.1,1.0000,118
CHN ENERGY Changyuan Electric Power Co Ltd,9246.0,0.0,1733.9,165.0,9246.0,1898.9,11144.9,0.8296,36
MSEB Holding Co Ltd,10200.0,937.7,0.0,0.0,11137.7,0.0,11137.7,1.0000,32
Talen Energy Corp,3677.5,7393.6,0.0,0.0,11071.1,0.0,11071.1,1.0000,20
Tianjin China Green Power Investment Co Ltd,0.0,0.0,11000.0,0.0,0.0,11000.0,11000.0,0.0000,6
Ørsted A/S,0.0,181.0,2098.0,8585.1,181.0,10683.1,10864.1,0.0167,65
Thermal Power Plants Holding Co,0.0,10766.6,0.0,0.0,10766.6,0.0,10766.6,1.0000,39
Thermal Power Stations JSC,286.0,10371.1,0.0,0.0,10657.1,0.0,10657.1,1.0000,49
Hongqiao Investment (Hong Kong),10542.9,0.0,0.0,0.0,10542.9,0.0,10542.9,1.0000,39
Shenergy Co Ltd,6684.9,3689.2,0.0,20.0,10374.1,20.0,10394.1,0.9981,44
TotalEnergies SE,0.0,8011.9,1709.5,646.9,8011.9,2356.4,10368.3,0.7727,72
