gvkey,fyear,conm,fic,sic,at,sale,ppent,capx,ceq,dltt,dlc,oibdp,xint,oancf,alpha,lambda,rho,kappa,delta,source
100957,2020,IBERDROLA SA,ESP,4911,122518.0,33145.0,73156.0,5554.0,35412.0,32261.0,7834.0,9511.0,1132.0,8347.0,0.0302,0.3273,0.0776,7.3737,0.8046,compustat_global_utilities.csv
100957,2021,IBERDROLA SA,ESP,4911,141752.0,39114.0,81466.0,6472.0,40479.0,33432.0,10142.0,11527.0,1272.0,8106.0,0.0270,0.3074,0.0813,6.3726,0.7672,compustat_global_utilities.csv
100957,2022,IBERDROLA SA,ESP,4911,154667.0,53949.0,87847.0,6466.0,41119.0,38479.0,13239.0,12647.0,1888.0,10443.0,0.0173,0.3344,0.0818,5.5312,0.7440,compustat_global_utilities.csv
100957,2023,IBERDROLA SA,ESP,4911,150033.0,49335.0,89248.0,7717.0,43111.0,38813.0,14615.0,13732.0,2452.0,12130.0,0.0193,0.3561,0.0915,4.9470,0.7265,compustat_global_utilities.csv
100957,2024,IBERDROLA SA,ESP,4911,158293.0,44739.0,95928.0,8209.0,47125.0,43291.0,16459.0,15309.0,2541.0,11925.0,0.0196,0.3775,0.0967,4.6930,0.7245,compustat_global_utilities.csv
101148,2010,LECHWERKE AG,DEU,4911,1815.833,1734.89,402.131,80.743,823.51,0.0,0.81,121.896,0.294,188.388,,0.0004,0.0671,640.7755,0.0000,compustat_global_utilities.csv
101148,2011,LECHWERKE AG,DEU,4911,1902.758,2036.432,456.646,89.138,844.901,0.0,1.182,117.73,0.263,179.567,,0.0006,0.0619,682.7643,0.0000,compustat_global_utilities.csv
101148,2012,LECHWERKE AG,DEU,4911,1752.109,2111.448,486.9,81.678,856.763,4.689,0.955,113.694,0.46,-104.134,,0.0032,0.0649,-226.3783,0.8308,compustat_global_utilities.csv
101148,2013,LECHWERKE AG,DEU,4911,1752.546,2132.161,514.978,79.838,915.261,5.05,2.655,153.743,0.513,147.825,,0.0044,0.0877,288.1579,0.6554,compustat_global_utilities.csv
101148,2014,LECHWERKE AG,DEU,4911,1822.802,2114.128,555.386,93.574,950.954,5.045,16.168,168.482,22.106,51.969,,0.0116,0.0924,2.3509,0.2378,compustat_global_utilities.csv
101148,2015,LECHWERKE AG,DEU,4911,1629.148,1292.006,440.087,,472.456,5.195,0.0,116.073,16.064,168.927,,0.0032,0.0712,10.5159,1.0000,compustat_global_utilities.csv
101148,2016,LECHWERKE AG,DEU,4911,1735.384,1379.091,472.286,90.9,491.82,5.195,0.0,134.675,14.23,150.3,,0.0030,0.0776,10.5622,1.0000,compustat_global_utilities.csv
101148,2017,LECHWERKE AG,DEU,4911,1765.369,1287.635,503.553,88.036,522.812,5.195,0.0,131.825,10.05,141.354,,0.0029,0.0747,14.0651,1.0000,compustat_global_utilities.csv
101148,2018,LECHWERKE AG,DEU,4911,1848.205,1314.626,523.082,86.492,501.772,0.0,0.0,115.368,14.839,82.325,,0.0000,0.0624,5.5479,,compustat_global_utilities.csv
101148,2019,LECHWERKE AG,DEU,4911,1939.971,1467.139,553.911,112.776,542.425,0.0,0.0,155.966,16.444,192.224,,0.0000,0.0804,11.6896,,compustat_global_utilities.csv
101148,2020,LECHWERKE AG,DEU,4911,1703.808,1262.773,102.456,122.414,559.825,0.0,0.0,38.339,8.219,146.506,,0.0000,0.0225,17.8253,,compustat_global_utilities.csv
101148,2021,LECHWERKE AG,DEU,4911,1802.578,1538.872,128.455,28.192,571.786,0.0,0.0,31.432,6.254,114.936,,0.0000,0.0174,18.3780,,compustat_global_utilities.csv
101148,2022,LECHWERKE AG,DEU,4911,1780.543,2325.273,146.744,38.0,493.895,0.0,0.0,-6.268,7.239,85.933,,0.0000,-0.0035,11.8708,,compustat_global_utilities.csv
101148,2023,LECHWERKE AG,DEU,4911,1776.241,1468.365,173.767,,531.677,0.0,0.0,52.415,36.375,209.94,,0.0000,0.0295,5.7715,,compustat_global_utilities.csv
101148,2024,LECHWERKE AG,DEU,4911,1736.552,1175.02,168.989,,553.362,0.0,0.0,32.615,38.363,110.958,,0.0000,0.0188,2.8923,,compustat_global_utilities.csv
101609,2010,CEGEDEL SA,LUX,4911,537.529,772.691,13.536,,240.198,0.0,0.0,34.175,0.276,,,0.0000,0.0636,,,compustat_global_utilities.csv
101609,2011,CEGEDEL SA,LUX,4911,773.976,1245.398,14.959,,414.471,0.0,57.008,20.91,1.819,,,0.0737,0.0270,,0.0000,compustat_global_utilities.csv
101609,2012,CEGEDEL SA,LUX,4911,1067.09,1569.51,1.006,,429.808,200.0,5.152,-14.456,7.45,,,0.1923,-0.0135,,0.9749,compustat_global_utilities.csv
101609,2013,CEGEDEL SA,LUX,4911,1130.314,1993.861,0.697,,509.785,200.0,1.402,31.957,11.636,,,0.1782,0.0283,,0.9930,compustat_global_utilities.csv
101609,2014,CEGEDEL SA,LUX,4911,1043.681,1777.367,1.343,,394.713,200.0,0.002,34.358,12.291,,,0.1916,0.0329,,1.0000,compustat_global_utilities.csv
101609,2015,CEGEDEL SA,LUX,4911,1017.956,1550.533,109.866,,396.479,200.0,61.104,36.98,14.789,,,0.2565,0.0363,,0.7660,compustat_global_utilities.csv
101609,2016,CEGEDEL SA,LUX,4911,946.252,1184.862,108.065,,414.555,200.0,0.0,34.75,17.943,,,0.2114,0.0367,,1.0000,compustat_global_utilities.csv
101609,2017,CEGEDEL SA,LUX,4911,958.899,1052.781,107.825,,383.677,278.642,4.917,-1.017,17.617,,,0.2957,-0.0011,,0.9827,compustat_global_utilities.csv
101609,2018,CEGEDEL SA,LUX,4911,953.11,1167.135,105.642,,386.925,73.727,204.915,6.604,20.085,,,0.2924,0.0069,,0.2646,compustat_global_utilities.csv
101609,2019,CEGEDEL SA,LUX,4911,779.821,1261.444,103.361,,377.346,68.812,14.509,-6.763,10.702,,,0.1068,-0.0087,,0.8259,compustat_global_utilities.csv
101609,2020,CEGEDEL SA,LUX,4911,788.491,1096.164,103.754,,388.498,63.897,5.886,-38.002,6.081,,,0.0885,-0.0482,,0.9157,compustat_global_utilities.csv
101609,2021,CEGEDEL SA,LUX,4911,995.973,1302.713,106.102,,383.709,58.982,5.69,-11.136,5.782,,,0.0649,-0.0112,,0.9120,compustat_global_utilities.csv
101609,2022,CEGEDEL SA,LUX,4911,1495.074,2197.949,102.786,,411.406,234.067,4.963,30.087,5.834,,,0.1599,0.0201,,0.9792,compustat_global_utilities.csv
101609,2023,CEGEDEL SA,LUX,4911,1453.544,3693.523,15.598,,410.079,274.352,54.91,17.63,16.177,,,0.2265,0.0121,,0.8332,compustat_global_utilities.csv
101609,2024,CEGEDEL SA,LUX,4911,1217.197,2470.751,18.244,,485.556,180.0,0.02,35.548,14.283,,,0.1479,0.0292,,0.9999,compustat_global_utilities.csv
101769,2009,SHIKOKU ELECTRIC POWER CO,JPN,4911,1383190.0,545393.0,1017220.0,75709.0,360157.0,579831.0,107470.0,124984.0,10236.0,126793.0,0.0958,0.4969,0.0904,12.3870,0.8436,compustat_global_utilities.csv
101769,2010,SHIKOKU ELECTRIC POWER CO,JPN,4911,1379859.0,592123.0,1019014.0,70623.0,351169.0,577795.0,80853.0,156096.0,9938.0,145608.0,0.0958,0.4773,0.1131,14.6516,0.8772,compustat_global_utilities.csv
101769,2011,SHIKOKU ELECTRIC POWER CO,JPN,4911,1375197.0,592142.0,1003891.0,73924.0,326596.0,514579.0,158246.0,84361.0,9636.0,81605.0,0.2565,0.4893,0.0613,8.4688,0.7648,compustat_global_utilities.csv
101769,2012,SHIKOKU ELECTRIC POWER CO,JPN,4911,1385440.0,561783.0,991099.0,61713.0,284969.0,608344.0,127513.0,19125.0,9462.0,15781.0,0.2565,0.5311,0.0138,1.6678,0.8267,compustat_global_utilities.csv
101769,2013,SHIKOKU ELECTRIC POWER CO,JPN,4911,1397277.0,636332.0,979412.0,73372.0,287199.0,634277.0,104504.0,68944.0,9898.0,65734.0,0.2565,0.5287,0.0493,6.6411,0.8585,compustat_global_utilities.csv
101769,2014,SHIKOKU ELECTRIC POWER CO,JPN,4911,1401189.0,664286.0,974002.0,59120.0,300652.0,643750.0,69578.0,94845.0,9983.0,100164.0,0.2565,0.5091,0.0677,10.0335,0.9025,compustat_global_utilities.csv
101769,2015,SHIKOKU ELECTRIC POWER CO,JPN,4911,1401750.0,654013.0,998358.0,89063.0,285923.0,627792.0,93754.0,89984.0,9094.0,91739.0,0.2701,0.5147,0.0642,10.0879,0.8701,compustat_global_utilities.csv
101769,2016,SHIKOKU ELECTRIC POWER CO,JPN,4911,1301267.0,684537.0,970977.0,63580.0,303615.0,547594.0,162252.0,93763.0,8561.0,81739.0,0.2441,0.5455,0.0721,9.5478,0.7714,compustat_global_utilities.csv
101769,2017,SHIKOKU ELECTRIC POWER CO,JPN,4911,1330226.0,731775.0,986922.0,80507.0,312292.0,571036.0,114474.0,100415.0,7621.0,123512.0,0.1820,0.5153,0.0755,16.2068,0.8330,compustat_global_utilities.csv
101769,2018,SHIKOKU ELECTRIC POWER CO,JPN,4911,1353941.0,737274.0,1009017.0,82645.0,319229.0,604315.0,102265.0,93440.0,6996.0,54507.0,0.1602,0.5219,0.0690,7.7912,0.8553,compustat_global_utilities.csv
101769,2019,SHIKOKU ELECTRIC POWER CO,JPN,4911,1373640.0,733187.0,1015179.0,85809.0,324541.0,646147.0,73311.0,95975.0,6117.0,107313.0,0.1519,0.5238,0.0699,17.5434,0.8981,compustat_global_utilities.csv
101769,2020,SHIKOKU ELECTRIC POWER CO,JPN,4911,1430424.0,719231.0,1034737.0,82672.0,325679.0,720288.0,53874.0,65515.0,5675.0,52293.0,0.0887,0.5412,0.0458,9.2146,0.9304,compustat_global_utilities.csv
101769,2021,SHIKOKU ELECTRIC POWER CO,JPN,4911,1500744.0,641948.0,1060703.0,104156.0,312893.0,732390.0,130393.0,53218.0,5579.0,49841.0,0.1078,0.5749,0.0355,8.9337,0.8489,compustat_global_utilities.csv
101769,2022,SHIKOKU ELECTRIC POWER CO,JPN,4911,1612025.0,833203.0,1078105.0,75079.0,295788.0,860692.0,90280.0,50499.0,6184.0,36086.0,0.1504,0.5899,0.0313,5.8354,0.9051,compustat_global_utilities.csv
101769,2023,SHIKOKU ELECTRIC POWER CO,JPN,4911,1629054.0,787403.0,1072131.0,79023.0,360492.0,841994.0,78152.0,146909.0,6172.0,143676.0,0.1057,0.5648,0.0902,23.2787,0.9151,compustat_global_utilities.csv
101769,2024,SHIKOKU ELECTRIC POWER CO,JPN,4911,1687484.0,851399.0,1072228.0,78297.0,438019.0,830796.0,71535.0,157161.0,6258.0,129821.0,0.1247,0.5347,0.0931,20.7448,0.9207,compustat_global_utilities.csv
102304,2011,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,7261.0,8057.0,2398.0,137.0,4014.0,608.0,380.0,557.0,44.0,375.0,,0.1361,0.0767,8.5227,0.6154,compustat_global_utilities.csv
102304,2012,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,6460.0,7147.0,2036.0,82.0,3608.0,647.0,60.0,328.0,39.0,259.0,,0.1094,0.0508,6.6410,0.9151,compustat_global_utilities.csv
102304,2013,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,5628.0,5503.0,2085.0,54.0,3135.0,501.0,11.0,348.0,21.0,214.0,,0.0910,0.0618,10.1905,0.9785,compustat_global_utilities.csv
102304,2014,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,6730.0,6405.0,2901.0,61.0,3085.0,1164.0,248.0,304.0,35.0,280.0,,0.2098,0.0452,8.0000,0.8244,compustat_global_utilities.csv
102304,2015,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,6277.0,5074.0,2571.0,43.0,2660.0,955.0,108.0,317.0,48.0,266.0,,0.1693,0.0505,5.5417,0.8984,compustat_global_utilities.csv
102304,2016,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,5992.0,4402.0,884.0,33.0,2748.0,628.0,30.0,254.0,35.0,11.0,,0.1098,0.0424,0.3143,0.9544,compustat_global_utilities.csv
102304,2017,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,6318.0,5579.0,941.0,23.0,2681.0,513.0,33.0,211.0,28.0,354.0,,0.0864,0.0334,12.6429,0.9396,compustat_global_utilities.csv
102304,2018,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,6179.0,5214.0,860.0,33.0,2535.0,433.0,33.0,60.0,42.0,-61.0,,0.0754,0.0097,-1.4524,0.9292,compustat_global_utilities.csv
102304,2019,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,4602.0,4078.0,354.0,39.0,2475.0,163.0,34.0,78.0,50.0,-107.0,,0.0428,0.0169,-2.1400,0.8274,compustat_global_utilities.csv
102304,2020,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,4870.0,3895.0,399.0,34.0,2688.0,133.0,37.0,265.0,36.0,120.0,,0.0349,0.0544,3.3333,0.7824,compustat_global_utilities.csv
102304,2021,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,10754.0,7175.0,362.0,20.0,2497.0,100.0,57.0,-319.0,51.0,-381.0,,0.0146,-0.0297,-7.4706,0.6369,compustat_global_utilities.csv
102304,2022,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,11984.0,14644.0,342.0,38.0,2510.0,67.0,89.0,143.0,50.0,623.0,,0.0130,0.0119,12.4600,0.4295,compustat_global_utilities.csv
102304,2023,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,9532.0,8960.0,330.0,159.0,3825.0,1544.0,292.0,1562.0,147.0,491.0,,0.1926,0.1639,3.3401,0.8410,compustat_global_utilities.csv
102304,2024,AARE-TESSIN AG FUR ELEK ATEL,CHE,4911,6935.6,6672.7,409.2,72.3,4051.7,656.7,215.5,1227.9,128.9,975.7,,0.1258,0.1770,7.5694,0.7529,compustat_global_utilities.csv
102311,2009,HOKURIKU ELECTRIC POWER CO,JPN,4911,1411859.0,471422.0,1090070.0,51402.0,358212.0,762246.0,110713.0,138879.0,15403.0,145762.0,0.2156,0.6183,0.0984,9.4632,0.8732,compustat_global_utilities.csv
102311,2010,HOKURIKU ELECTRIC POWER CO,JPN,4911,1381163.0,494165.0,1101251.0,68037.0,354647.0,674807.0,122476.0,145035.0,17505.0,133831.0,0.2156,0.5773,0.1050,7.6453,0.8464,compustat_global_utilities.csv
102311,2011,HOKURIKU ELECTRIC POWER CO,JPN,4911,1385922.0,495118.0,1071351.0,57280.0,339504.0,700602.0,116654.0,93597.0,12704.0,68048.0,0.2548,0.5897,0.0675,5.3564,0.8573,compustat_global_utilities.csv
102311,2012,HOKURIKU ELECTRIC POWER CO,JPN,4911,1395976.0,492487.0,1055565.0,62221.0,331049.0,727483.0,98966.0,86687.0,12268.0,86505.0,0.2548,0.5920,0.0621,7.0513,0.8803,compustat_global_utilities.csv
102311,2013,HOKURIKU ELECTRIC POWER CO,JPN,4911,1440151.0,509638.0,1026492.0,61546.0,324798.0,770704.0,112623.0,90700.0,12769.0,81626.0,0.2548,0.6134,0.0630,6.3925,0.8725,compustat_global_utilities.csv
102311,2014,HOKURIKU ELECTRIC POWER CO,JPN,4911,1479451.0,532760.0,1064505.0,117322.0,335692.0,773890.0,100395.0,110334.0,15342.0,113132.0,0.2548,0.5910,0.0746,7.3740,0.8852,compustat_global_utilities.csv
102311,2015,HOKURIKU ELECTRIC POWER CO,JPN,4911,1509393.0,544568.0,1094573.0,86728.0,324164.0,815146.0,104050.0,105340.0,11265.0,69792.0,0.2929,0.6090,0.0698,6.1955,0.8868,compustat_global_utilities.csv
102311,2016,HOKURIKU ELECTRIC POWER CO,JPN,4911,1518076.0,542572.0,1109516.0,105163.0,316346.0,851767.0,99364.0,75382.0,10427.0,63547.0,0.2948,0.6265,0.0497,6.0945,0.8955,compustat_global_utilities.csv
102311,2017,HOKURIKU ELECTRIC POWER CO,JPN,4911,1588757.0,596283.0,1121859.0,95353.0,315121.0,872455.0,116940.0,77599.0,9638.0,82277.0,0.3347,0.6227,0.0488,8.5367,0.8818,compustat_global_utilities.csv
102311,2018,HOKURIKU ELECTRIC POWER CO,JPN,4911,1573127.0,622930.0,1149221.0,106934.0,313465.0,851374.0,127733.0,84809.0,8795.0,54018.0,0.2937,0.6224,0.0539,6.1419,0.8695,compustat_global_utilities.csv
102311,2019,HOKURIKU ELECTRIC POWER CO,JPN,4911,1592933.0,628039.0,1147698.0,79933.0,321976.0,859374.0,113845.0,81204.0,7657.0,101475.0,0.3039,0.6110,0.0510,13.2526,0.8830,compustat_global_utilities.csv
102311,2020,HOKURIKU ELECTRIC POWER CO,JPN,4911,1595626.0,639445.0,1166737.0,86938.0,338625.0,880555.0,92695.0,72175.0,6916.0,56639.0,0.2492,0.6099,0.0452,8.1896,0.9048,compustat_global_utilities.csv
102311,2021,HOKURIKU ELECTRIC POWER CO,JPN,4911,1656664.0,613756.0,1198640.0,83368.0,324862.0,941933.0,93877.0,38958.0,6578.0,30950.0,0.2411,0.6252,0.0235,4.7051,0.9094,compustat_global_utilities.csv
102311,2022,HOKURIKU ELECTRIC POWER CO,JPN,4911,1805318.0,817601.0,1215757.0,82422.0,233488.0,1166420.0,116436.0,-14665.0,7224.0,-97045.0,0.2006,0.7106,-0.0081,-13.4337,0.9092,compustat_global_utilities.csv
102311,2023,HOKURIKU ELECTRIC POWER CO,JPN,4911,1855435.0,808238.0,1208207.0,70473.0,307890.0,1089803.0,100220.0,175590.0,7498.0,223328.0,0.2377,0.6414,0.0946,29.7850,0.9158,compustat_global_utilities.csv
102311,2024,HOKURIKU ELECTRIC POWER CO,JPN,4911,1859830.0,858275.0,1190598.0,86641.0,380726.0,1012441.0,135468.0,164821.0,7378.0,152289.0,0.2377,0.6172,0.0886,20.6410,0.8820,compustat_global_utilities.csv
102736,2010,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,1779.7,908.3,952.7,131.6,1241.6,138.5,4.9,204.2,4.7,145.2,,0.0806,0.1147,30.8936,0.9658,compustat_global_utilities.csv
102736,2011,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,1910.9,924.5,987.9,102.4,1273.5,134.7,0.5,155.7,4.9,195.4,,0.0708,0.0815,39.8776,0.9963,compustat_global_utilities.csv
102736,2012,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,1967.5,922.5,943.7,77.6,1347.9,134.7,0.7,187.0,6.3,170.4,,0.0688,0.0950,27.0476,0.9948,compustat_global_utilities.csv
102736,2013,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2101.8,875.4,963.5,80.6,1474.0,22.0,116.6,152.6,5.7,184.7,,0.0659,0.0726,32.4035,0.1587,compustat_global_utilities.csv
102736,2014,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2056.6,835.4,982.6,79.3,1422.4,25.7,0.2,107.0,5.9,174.9,,0.0126,0.0520,29.6441,0.9923,compustat_global_utilities.csv
102736,2015,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2103.8,831.6,983.5,80.6,1382.2,24.5,1.2,144.2,7.9,175.2,,0.0122,0.0685,22.1772,0.9533,compustat_global_utilities.csv
102736,2016,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2182.8,827.8,1021.5,100.9,1291.7,25.3,0.6,-37.2,6.8,97.1,,0.0119,-0.0170,14.2794,0.9768,compustat_global_utilities.csv
102736,2017,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2291.1,818.2,1051.3,84.8,1403.8,13.7,22.0,123.4,9.6,133.9,,0.0156,0.0539,13.9479,0.3838,compustat_global_utilities.csv
102736,2018,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2440.7,900.0,1067.3,72.9,1491.4,24.7,6.4,148.2,11.7,144.5,,0.0127,0.0607,12.3504,0.7942,compustat_global_utilities.csv
102736,2019,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2398.1,759.8,1079.8,77.7,1547.7,24.0,2.2,233.3,8.6,88.9,,0.0109,0.0973,10.3372,0.9160,compustat_global_utilities.csv
102736,2020,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2432.0,802.2,1104.4,74.4,1696.3,40.0,6.0,184.7,8.9,165.3,,0.0189,0.0759,18.5730,0.8696,compustat_global_utilities.csv
102736,2021,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2857.0,874.6,1113.1,76.2,1735.8,34.1,5.9,237.1,4.7,75.4,,0.0140,0.0830,16.0426,0.8525,compustat_global_utilities.csv
102736,2022,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,3230.0,1158.2,1146.6,86.4,1185.7,33.4,28.9,36.4,3.5,-124.7,,0.0193,0.0113,-35.6286,0.5361,compustat_global_utilities.csv
102736,2023,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2498.4,1235.1,978.2,89.6,1972.2,13.0,2.7,315.4,0.6,115.6,,0.0063,0.1262,192.6667,0.8280,compustat_global_utilities.csv
102736,2024,CENTRALSCHWEIZERISCHE KRFTWR,CHE,4911,2455.1,1075.8,1021.6,88.3,2065.9,19.5,4.0,226.7,0.1,258.4,,0.0096,0.0923,2584.0000,0.8298,compustat_global_utilities.csv
102781,2010,NATURENERGIE HOLDING AG,CHE,4911,1608.9,788.7,810.7,87.9,881.3,109.9,13.8,168.7,5.5,130.6,,0.0769,0.1049,23.7455,0.8884,compustat_global_utilities.csv
102781,2011,NATURENERGIE HOLDING AG,CHE,4911,1660.1,904.5,811.5,87.9,936.0,27.7,89.0,177.4,3.8,172.4,,0.0703,0.1069,45.3684,0.2374,compustat_global_utilities.csv
102781,2012,NATURENERGIE HOLDING AG,CHE,4911,1628.4,965.3,812.7,45.2,971.9,26.2,5.2,141.2,2.3,95.7,,0.0193,0.0867,41.6087,0.8344,compustat_global_utilities.csv
102781,2013,NATURENERGIE HOLDING AG,CHE,4911,1649.7,1049.9,810.6,34.1,962.8,22.5,16.8,123.0,4.6,85.7,,0.0238,0.0746,18.6304,0.5725,compustat_global_utilities.csv
102781,2014,NATURENERGIE HOLDING AG,CHE,4911,1380.3,1063.0,861.0,42.2,744.1,55.2,28.5,125.2,3.5,132.1,,0.0606,0.0907,37.7429,0.6595,compustat_global_utilities.csv
102781,2015,NATURENERGIE HOLDING AG,CHE,4911,1384.8,981.5,895.5,52.8,731.2,65.1,19.8,96.2,3.9,58.7,,0.0613,0.0695,15.0513,0.7668,compustat_global_utilities.csv
102781,2016,NATURENERGIE HOLDING AG,CHE,4911,1411.1,924.6,918.2,56.6,728.6,59.7,22.7,90.7,8.2,92.4,,0.0584,0.0643,11.2683,0.7245,compustat_global_utilities.csv
102781,2017,NATURENERGIE HOLDING AG,CHE,4911,1376.3,889.3,908.3,51.9,723.6,53.8,16.4,82.0,3.6,69.2,,0.0510,0.0596,19.2222,0.7664,compustat_global_utilities.csv
102781,2018,NATURENERGIE HOLDING AG,CHE,4911,1374.0,895.7,930.1,60.3,708.5,58.8,17.6,70.4,3.5,46.1,,0.0556,0.0512,13.1714,0.7696,compustat_global_utilities.csv
102781,2019,NATURENERGIE HOLDING AG,CHE,4911,1431.9,941.6,967.5,59.6,696.5,71.4,11.4,49.1,3.3,43.8,,0.0578,0.0343,13.2727,0.8623,compustat_global_utilities.csv
102781,2020,NATURENERGIE HOLDING AG,CHE,4911,1467.4,1036.9,977.4,67.1,714.7,66.6,12.5,88.8,4.0,119.3,,0.0539,0.0605,29.8250,0.8420,compustat_global_utilities.csv
102781,2021,NATURENERGIE HOLDING AG,CHE,4911,1664.6,1124.1,985.9,64.5,768.3,72.9,9.2,148.6,4.0,196.0,,0.0493,0.0893,49.0000,0.8879,compustat_global_utilities.csv
102781,2022,NATURENERGIE HOLDING AG,CHE,4911,1655.6,1504.7,1014.0,87.4,941.7,82.4,19.3,153.6,4.7,-46.3,,0.0614,0.0928,-9.8511,0.8102,compustat_global_utilities.csv
102781,2023,NATURENERGIE HOLDING AG,CHE,4911,1817.4,1966.0,1074.4,99.2,1035.8,93.3,20.1,184.3,7.3,80.1,,0.0624,0.1014,10.9726,0.8228,compustat_global_utilities.csv
102781,2024,NATURENERGIE HOLDING AG,CHE,4911,1918.3,1708.4,1154.7,144.0,1182.5,91.5,13.4,288.1,7.0,228.8,,0.0547,0.1502,32.6857,0.8723,compustat_global_utilities.csv
102797,2010,VERBUND AG,AUT,4911,11290.979,3197.961,4908.295,678.175,4036.025,4267.425,228.792,1057.666,245.228,778.2,0.0053,0.3982,0.0937,3.1734,0.9491,compustat_global_utilities.csv
102797,2011,VERBUND AG,AUT,4911,11859.31,3778.4,6578.701,564.986,4323.546,3867.852,322.9,1035.588,198.899,829.919,0.0529,0.3534,0.0873,4.1726,0.9229,compustat_global_utilities.csv
102797,2012,VERBUND AG,AUT,4911,12387.327,3117.422,7385.833,659.997,4458.405,3935.301,385.763,1193.028,160.84,1034.709,0.0529,0.3488,0.0963,6.4332,0.9107,compustat_global_utilities.csv
102797,2013,VERBUND AG,AUT,4911,12808.628,3017.95,9398.608,560.094,4940.918,3359.528,654.24,1105.333,164.963,837.418,0.0529,0.3134,0.0863,5.0764,0.8370,compustat_global_utilities.csv
102797,2014,VERBUND AG,AUT,4911,12247.296,2723.944,9436.551,460.388,4689.054,2900.494,806.357,809.119,173.524,717.597,0.0529,0.3027,0.0661,4.1354,0.7825,compustat_global_utilities.csv
102797,2015,VERBUND AG,AUT,4911,11762.993,2776.049,9201.878,288.118,4859.617,2744.116,385.387,867.747,168.32,673.979,0.0542,0.2660,0.0738,4.0042,0.8769,compustat_global_utilities.csv
102797,2016,VERBUND AG,AUT,4911,11538.188,2608.867,9010.643,248.146,4964.251,2394.916,324.759,920.16,147.487,804.307,0.0372,0.2357,0.0797,5.4534,0.8806,compustat_global_utilities.csv
102797,2017,VERBUND AG,AUT,4911,11283.602,2786.597,8871.326,243.452,5064.051,2141.598,213.955,892.041,134.634,640.582,0.0420,0.2088,0.0791,4.7580,0.9092,compustat_global_utilities.csv
102797,2018,VERBUND AG,AUT,4911,11704.798,2726.973,8957.118,295.557,5305.296,1472.817,753.54,861.75,130.642,664.115,0.0392,0.1902,0.0736,5.0835,0.6615,compustat_global_utilities.csv
102797,2019,VERBUND AG,AUT,4911,11838.629,3757.391,9244.185,391.164,5887.804,1343.672,357.604,1182.807,113.495,1204.298,0.0229,0.1437,0.0999,10.6110,0.7898,compustat_global_utilities.csv
102797,2020,VERBUND AG,AUT,4911,12054.202,3096.643,9518.286,602.357,6151.179,1277.454,106.956,1290.537,86.13,1190.959,0.0156,0.1148,0.1071,13.8275,0.9227,compustat_global_utilities.csv
102797,2021,VERBUND AG,AUT,4911,17111.572,4568.248,10775.873,854.044,5461.64,1920.155,1470.753,1557.643,82.714,98.162,0.0084,0.1982,0.0910,1.1868,0.5663,compustat_global_utilities.csv
102797,2022,VERBUND AG,AUT,4911,19156.644,10056.676,12023.057,1091.227,7275.986,2970.559,1120.097,3152.368,108.403,2019.859,0.0054,0.2135,0.1646,18.6329,0.7262,compustat_global_utilities.csv
102797,2023,VERBUND AG,AUT,4911,19485.316,10142.284,12867.642,1398.52,9969.12,1702.84,865.529,4467.118,133.188,5082.969,0.0031,0.1318,0.2293,38.1639,0.6630,compustat_global_utilities.csv
102797,2024,VERBUND AG,AUT,4911,18718.311,7939.495,13264.516,1137.511,9977.58,2288.204,224.212,3473.46,136.882,3248.556,0.0053,0.1342,0.1856,23.7325,0.9108,compustat_global_utilities.csv
102823,2010,ZEAG ENERGIE AG,DEU,4911,347.032,131.781,123.028,16.862,239.984,0.0,0.0,21.272,1.17,12.808,,0.0000,0.0613,10.9470,,compustat_global_utilities.csv
