gvkey,fyear,conm,fic,sic,at,sale,ppent,capx,ceq,dltt,dlc,oibdp,xint,oancf,alpha,lambda,rho,kappa,delta,source
030282,2010,MANILA ELECTRIC CO,PHL,4911,178968.0,245461.0,103250.0,8510.0,58969.0,15498.0,5723.0,23224.0,1520.0,20358.0,0.1241,0.1186,0.1298,13.3934,0.7303,compustat_global_utilities.csv
030282,2011,MANILA ELECTRIC CO,PHL,4911,210388.0,256808.0,105510.0,8343.0,63788.0,19816.0,4627.0,31494.0,1278.0,31165.0,0.1241,0.1162,0.1497,24.3858,0.8107,compustat_global_utilities.csv
030282,2012,MANILA ELECTRIC CO,PHL,4911,217073.0,285270.0,109312.0,9353.0,67479.0,20466.0,4147.0,33920.0,1463.0,36244.0,0.1241,0.1134,0.1563,24.7738,0.8315,compustat_global_utilities.csv
030282,2013,MANILA ELECTRIC CO,PHL,4911,264004.0,298636.0,112586.0,9306.0,75162.0,20756.0,12835.0,41017.0,1601.0,37144.0,0.1241,0.1272,0.1554,23.2005,0.6179,compustat_global_utilities.csv
030282,2014,MANILA ELECTRIC CO,PHL,4911,269053.0,266336.0,120830.0,12051.0,79154.0,27743.0,2299.0,42907.0,1621.0,37495.0,0.0274,0.1117,0.1595,23.1308,0.9235,compustat_global_utilities.csv
030282,2015,MANILA ELECTRIC CO,PHL,4911,282239.0,258399.0,124913.0,10383.0,80276.0,27370.0,2938.0,41946.0,1362.0,41683.0,0.0274,0.1074,0.1486,30.6043,0.9031,compustat_global_utilities.csv
030282,2016,MANILA ELECTRIC CO,PHL,4911,296037.0,257181.0,128814.0,10807.0,74417.0,26999.0,13348.0,42393.0,1496.0,35351.0,0.0274,0.1363,0.1432,23.6303,0.6692,compustat_global_utilities.csv
030282,2017,MANILA ELECTRIC CO,PHL,4911,303355.0,282556.0,133874.0,11808.0,73610.0,24786.0,15470.0,42431.0,1656.0,28385.0,0.0274,0.1327,0.1399,17.1407,0.6157,compustat_global_utilities.csv
030282,2018,MANILA ELECTRIC CO,PHL,4911,336251.0,304454.0,139846.0,12997.0,82042.0,24745.0,15271.0,46467.0,1705.0,40146.0,0.0363,0.1190,0.1382,23.5460,0.6184,compustat_global_utilities.csv
030282,2019,MANILA ELECTRIC CO,PHL,4911,357019.0,318315.0,151441.0,19438.0,84230.0,12745.0,28508.0,50088.0,1810.0,42431.0,0.1440,0.1155,0.1403,23.4425,0.3089,compustat_global_utilities.csv
030282,2020,MANILA ELECTRIC CO,PHL,4911,390267.0,275304.0,163788.0,19662.0,79237.0,14809.0,25335.0,45072.0,1806.0,29872.0,0.1774,0.1029,0.1155,16.5404,0.3689,compustat_global_utilities.csv
030282,2021,MANILA ELECTRIC CO,PHL,4911,483482.0,318547.0,226344.0,26260.0,95204.0,52720.0,37948.0,52013.0,3879.0,43181.0,0.1809,0.1875,0.1076,11.1320,0.5815,compustat_global_utilities.csv
030282,2022,MANILA ELECTRIC CO,PHL,4911,519261.0,426529.0,244296.0,33663.0,109664.0,68757.0,35076.0,42043.0,4494.0,25182.0,0.1303,0.2000,0.0810,5.6035,0.6622,compustat_global_utilities.csv
030282,2023,MANILA ELECTRIC CO,PHL,4911,586042.0,443612.0,270733.0,24800.0,122295.0,62272.0,39853.0,59806.0,5112.0,57974.0,0.1286,0.1743,0.1021,11.3408,0.6098,compustat_global_utilities.csv
030282,2024,MANILA ELECTRIC CO,PHL,4911,617958.0,470362.0,289376.0,39150.0,144599.0,54797.0,40081.0,68963.0,5149.0,42010.0,0.1342,0.1535,0.1116,8.1589,0.5776,compustat_global_utilities.csv
030471,2010,AES ANDES SA,CHL,4911,5657.153,1802.049,4178.072,510.886,2548.863,2062.376,57.186,472.088,102.871,347.044,0.2625,0.3747,0.0834,3.3736,0.9730,compustat_global_utilities.csv
030471,2011,AES ANDES SA,CHL,4911,5829.273,2130.286,4375.469,395.439,2528.67,2203.41,64.622,736.741,107.307,497.901,0.4047,0.3891,0.1264,4.6400,0.9715,compustat_global_utilities.csv
030471,2012,AES ANDES SA,CHL,4911,5831.406,2327.721,4599.363,419.182,2477.667,2190.175,91.439,657.783,107.443,570.032,0.4047,0.3913,0.1128,5.3054,0.9599,compustat_global_utilities.csv
030471,2013,AES ANDES SA,CHL,4911,6591.902,2244.79,4871.754,531.614,2543.356,2430.343,401.605,619.831,123.126,140.362,0.4047,0.4296,0.0940,1.1400,0.8582,compustat_global_utilities.csv
030471,2014,AES ANDES SA,CHL,4911,6836.897,2328.406,5432.043,829.489,2312.552,2841.482,50.437,671.052,142.808,257.628,0.4047,0.4230,0.0982,1.8040,0.9826,compustat_global_utilities.csv
030471,2015,AES ANDES SA,CHL,4911,7286.033,2165.407,5795.506,1001.514,2223.444,3499.844,105.05,685.217,174.408,107.634,0.3915,0.4948,0.0940,0.6171,0.9709,compustat_global_utilities.csv
030471,2016,AES ANDES SA,CHL,4911,7848.904,2286.401,6150.29,561.919,2426.73,3777.174,183.114,772.897,188.242,421.921,0.4538,0.5046,0.0985,2.2414,0.9538,compustat_global_utilities.csv
030471,2017,AES ANDES SA,CHL,4911,8159.807,2436.712,6421.441,496.938,2593.92,2776.993,945.827,789.304,205.541,340.657,0.7437,0.4562,0.0967,1.6574,0.7459,compustat_global_utilities.csv
030471,2018,AES ANDES SA,CHL,4911,7869.361,2647.379,6472.229,564.693,2625.321,3301.218,297.272,881.163,209.457,313.405,0.6750,0.4573,0.1120,1.4963,0.9174,compustat_global_utilities.csv
030471,2019,AES ANDES SA,CHL,4911,8442.56,2411.773,7084.475,502.565,2446.526,4049.501,225.121,830.123,227.648,739.118,0.6613,0.5063,0.0983,3.2468,0.9473,compustat_global_utilities.csv
030471,2020,AES ANDES SA,CHL,4911,8120.006,2507.484,6728.539,563.746,1861.125,3991.295,130.988,1040.291,237.826,1247.697,0.5848,0.5077,0.1281,5.2463,0.9682,compustat_global_utilities.csv
030471,2021,AES ANDES SA,CHL,4911,4476.782,2771.088,3150.743,675.584,966.159,2148.912,267.528,1088.787,195.781,323.281,0.4567,0.5398,0.2432,1.6512,0.8893,compustat_global_utilities.csv
