gvkey_i,gvkey_j,w_ij
001075,354786,0.0035456159
001075,356341,0.0031032097
001075,356860,0.0066168087
001075,358171,0.0031014692
001075,359662,0.0031014692
001075,367697,0.0012332101
001075,368841,0.0002034822
001440,001075,0.0045328994
001440,001828,0.0014781792
001440,001995,0.0014357378
001440,003210,0.0003974782
001440,003392,0.0003974782
001440,003413,0.0015909446
001440,003439,0.0019271793
001440,003897,0.0062368115
001440,004029,0.0044691147
001440,004093,0.0049945415
001440,004241,0.0000764492
001440,004517,0.0027363379
001440,004798,0.0004739274
001440,005385,0.0003974782
001440,005526,0.0014017300
001440,005742,0.0062368115
001440,005870,0.0054726098
001440,005914,0.0051162320
001440,006338,0.0056779804
001440,006397,0.0062179474
001440,006867,0.0003974782
001440,006932,0.0056591170
001440,007365,0.0015723313
001440,007366,0.0028597386
001440,007437,0.0048350815
001440,007974,0.0047085640
001440,007977,0.0049342492
001440,008001,0.0058130635
001440,008099,0.0047923754
001440,008113,0.0041009162
001440,008199,0.0047059249
001440,008264,0.0014017300
001440,008290,0.0003974782
001440,008455,0.0061930325
001440,008539,0.0017992082
001440,008806,0.0000764492
001440,008810,0.0000764492
001440,009691,0.0003974782
001440,009846,0.0032804363
001440,009850,0.0051497798
001440,009902,0.0062136211
001440,010327,0.0000764492
001440,010447,0.0054045551
001440,010507,0.0009299956
001440,010801,0.0014017300
001440,010860,0.0055429659
001440,011188,0.0063054068
001440,011304,0.0064562191
001440,011550,0.0060940848
001440,011554,0.0064024328
001440,012428,0.0026964033
001440,012555,0.0003974782
001440,012612,0.0003974782
001440,012749,0.0000764492
001440,013353,0.0062299287
001440,013948,0.0051433459
001440,014390,0.0064961861
001440,014391,0.0036698756
001440,014433,0.0014017300
001440,014580,0.0017992082
001440,015321,0.0049038845
001440,016590,0.0014017300
001440,017525,0.0039770957
001440,018293,0.0018756574
001440,019774,0.0049035682
001440,020739,0.0003974782
001440,023465,0.0004739274
001440,025792,0.0049275069
001440,026658,0.0017992082
001440,026676,0.0003775090
001440,027141,0.0004739274
001440,029039,0.0048350815
001440,030282,0.0037272138
001440,030471,0.0038569560
001440,030538,0.0041890940
001440,030747,0.0057309105
001440,030874,0.0059030253
001440,036790,0.0003974782
001440,039049,0.0004739274
001440,040614,0.0014357378
001440,043737,0.0059722757
001440,060844,0.0014570009
001440,064577,0.0000764492
001440,064625,0.0014058987
001440,064910,0.0052834995
001440,065092,0.0000764492
001440,065095,0.0004739274
001440,065298,0.0003974782
001440,066624,0.0063054068
001440,100182,0.0058810723
001440,100251,0.0061831823
001440,100302,0.0052582640
001440,100365,0.0063603328
001440,100439,0.0063376218
001440,100450,0.0041113124
001440,100488,0.0053440530
001440,100688,0.0042097356
001440,100690,0.0061773708
001440,100953,0.0040235054
001440,100957,0.0031203658
001440,101769,0.0061302271
001440,102311,0.0063497448
001440,102797,0.0048999234
001440,102880,0.0003974782
001440,103124,0.0058682476
001440,103133,0.0055781135
001440,103167,0.0038940387
001440,103342,0.0035151082
001440,104474,0.0053650857
001440,104652,0.0015221337
001440,104814,0.0038852139
001440,105632,0.0004739274
001440,111320,0.0004899253
001440,114789,0.0003974782
001440,115687,0.0003974782
001440,116304,0.0054269632
001440,123456,0.0052079955
001440,127675,0.0057172468
001440,135990,0.0059279294
001440,136684,0.0004739274
001440,144096,0.0014017300
001440,144646,0.0052861471
001440,146411,0.0014017300
001440,146774,0.0004739274
001440,152430,0.0006904643
001440,154941,0.0014017300
001440,155277,0.0063054068
001440,156656,0.0004739274
001440,156676,0.0059722757
001440,156818,0.0000764492
001440,156819,0.0003974782
001440,156820,0.0037965430
001440,157373,0.0042728439
001440,163429,0.0048350815
001440,163669,0.0029511222
001440,179216,0.0014781792
001440,183187,0.0026159722
001440,185429,0.0048350815
001440,200478,0.0018756574
001440,200908,0.0028995948
001440,201143,0.0048350815
001440,201794,0.0045679878
001440,201913,0.0063054068
001440,202019,0.0003974782
001440,202023,0.0014017300
001440,202071,0.0053670493
001440,202852,0.0035750531
001440,203894,0.0053916817
001440,205365,0.0063338430
001440,206346,0.0062049234
001440,207224,0.0018756574
001440,208117,0.0047839825
001440,208929,0.0048350815
001440,211744,0.0064570241
001440,211761,0.0014017300
001440,211819,0.0014781792
001440,212928,0.0014017300
001440,212950,0.0017295136
001440,213510,0.0030232052
001440,213559,0.0018756574
001440,216524,0.0051535424
001440,216667,0.0009741632
001440,217202,0.0018756574
001440,217619,0.0014017300
001440,220454,0.0048456799
001440,220942,0.0028408589
001440,221095,0.0006672128
001440,221498,0.0000764492
001440,222601,0.0026820273
001440,223040,0.0062368115
001440,223041,0.0048350815
001440,225597,0.0058192621
001440,227226,0.0054843088
001440,227480,0.0061245925
001440,227916,0.0018756574
001440,233257,0.0003974782
001440,239577,0.0003974782
001440,243860,0.0004739274
001440,244341,0.0014017300
001440,244394,0.0052732761
001440,246094,0.0014017300
001440,246598,0.0017992082
001440,247493,0.0014017300
001440,247617,0.0064289779
001440,247642,0.0030833903
001440,248166,0.0031724391
001440,248838,0.0014781792
001440,249638,0.0045941824
001440,249946,0.0051252129
001440,251319,0.0046823426
001440,251373,0.0048761174
001440,251378,0.0049925981
001440,251720,0.0005122115
001440,252355,0.0040578950
001440,252586,0.0038073956
001440,253727,0.0048350815
001440,257082,0.0048350815
001440,258639,0.0025896513
001440,259541,0.0048942700
001440,260021,0.0056480514
001440,260062,0.0004739274
001440,260071,0.0063054068
001440,260185,0.0004739274
001440,268325,0.0053276060
001440,269269,0.0022838231
001440,269532,0.0040473748
001440,270113,0.0053110649
001440,270379,0.0051173361
001440,270383,0.0059249146
001440,270503,0.0026904413
001440,270698,0.0049899043
001440,270721,0.0036381635
001440,271031,0.0061750946
001440,271168,0.0050832751
001440,271174,0.0003974782
001440,271762,0.0004739274
001440,271952,0.0003974782
001440,272031,0.0045023332
001440,272146,0.0000764492
001440,272184,0.0003974782
001440,272290,0.0053090089
001440,272327,0.0035494017
001440,272468,0.0049115307
001440,274166,0.0033615033
001440,274222,0.0014134445
001440,274724,0.0027959175
001440,274890,0.0046681013
001440,275034,0.0014017300
001440,275247,0.0003974782
001440,277963,0.0051636811
001440,278333,0.0048350815
001440,278508,0.0004739274
001440,278760,0.0038764753
001440,278784,0.0028245015
001440,279336,0.0020096920
001440,281492,0.0014017300
001440,282044,0.0041198415
001440,282813,0.0017528733
001440,285082,0.0000764492
001440,285323,0.0053670493
001440,285367,0.0063132607
001440,285686,0.0016284670
001440,285711,0.0025397656
001440,286048,0.0013464548
001440,286434,0.0048350815
001440,286567,0.0048350815
001440,287670,0.0032796570
001440,287673,0.0049154427
001440,287783,0.0014781792
001440,287982,0.0006559481
001440,288013,0.0048350815
001440,288946,0.0048350815
001440,288970,0.0004739274
001440,289434,0.0035566622
001440,290445,0.0052602976
001440,291049,0.0041912104
001440,292414,0.0004739274
001440,293530,0.0058145450
001440,293879,0.0014017300
001440,294656,0.0016647898
001440,294966,0.0056134196
001440,296299,0.0053556921
001440,298150,0.0020753058
001440,302945,0.0014017300
001440,310791,0.0003974782
001440,312080,0.0000764492
001440,315416,0.0017992082
001440,315641,0.0052466714
001440,317115,0.0059116351
001440,317221,0.0018756574
001440,319717,0.0043540251
001440,319800,0.0006793582
001440,321632,0.0049126858
001440,321729,0.0062537524
001440,322685,0.0004739274
001440,322735,0.0048350815
001440,323569,0.0041918432
001440,324676,0.0000764492
001440,325699,0.0018756574
001440,326073,0.0019860466
001440,326097,0.0004739274
001440,326109,0.0018756574
001440,326162,0.0054843088
001440,326395,0.0003974782
001440,326558,0.0003974782
001440,326582,0.0046894413
001440,326989,0.0049115307
001440,327477,0.0004739274
001440,327598,0.0004739274
001440,328809,0.0004739274
001440,329188,0.0004739274
001440,329260,0.0004739274
001440,330174,0.0019478127
001440,330659,0.0004739274
001440,332452,0.0017943796
001440,332463,0.0000764492
001440,333300,0.0000764492
001440,333753,0.0029213734
001440,333819,0.0003974782
001440,335480,0.0000764492
001440,338093,0.0004739274
001440,338459,0.0004739274
001440,338892,0.0020096920
001440,339028,0.0000764492
001440,339091,0.0014017300
001440,339169,0.0003974782
001440,342150,0.0004739274
001440,343320,0.0004739274
001440,345688,0.0033017043
001440,346000,0.0004739274
001440,346289,0.0000764492
001440,346354,0.0006416959
001440,346972,0.0003974782
001440,347335,0.0003974782
001440,347411,0.0018756574
001440,347460,0.0000764492
001440,347484,0.0003974782
001440,347683,0.0004739274
001440,349471,0.0003974782
001440,349595,0.0004739274
001440,349919,0.0003974782
001440,350155,0.0048350815
001440,350431,0.0014017300
001440,350660,0.0026925612
001440,351362,0.0003974782
001440,351744,0.0018756574
001440,351868,0.0004739274
001440,352018,0.0049966091
001440,353306,0.0000764492
001440,353985,0.0004739274
001440,354081,0.0014781792
001440,354082,0.0004739274
001440,354786,0.0014017300
001440,355383,0.0000764492
001440,356341,0.0053107661
001440,356860,0.0045023332
001440,358171,0.0048350815
001440,358792,0.0003974782
001440,359662,0.0048350815
001440,360898,0.0004739274
001440,361625,0.0003974782
001440,362999,0.0000764492
001440,363653,0.0004739274
001440,364457,0.0004739274
001440,365775,0.0003974782
001440,367697,0.0017189470
001440,368841,0.0006793582
001828,001075,0.0045015921
001828,001440,0.0018589275
001828,001995,0.0046190330
001828,003413,0.0071656033
001828,003439,0.0046190330
001828,003897,0.0021381788
001828,004029,0.0046779474
001828,004093,0.0040171816
001828,004241,0.0038202528
001828,004517,0.0050333579
001828,004798,0.0028269157
001828,005526,0.0046190330
001828,005742,0.0022383005
001828,005870,0.0033198319
001828,005914,0.0003535690
001828,006338,0.0030615620
001828,006397,0.0024786518
001828,006932,0.0010362899
001828,007365,0.0046190330
001828,007366,0.0046190330
001828,007974,0.0042806800
001828,007977,0.0040371171
001828,008001,0.0010329863
001828,008099,0.0041752805
001828,008113,0.0046190330
001828,008199,0.0009810271
001828,008264,0.0046190330
001828,008455,0.0017077310
001828,008539,0.0022993763
001828,008806,0.0038202528
001828,008810,0.0038202528
001828,009846,0.0046190330
001828,009850,0.0037600103
001828,009902,0.0015844610
001828,010327,0.0038202528
001828,010447,0.0034353333
001828,010507,0.0032940958
001828,010801,0.0046190330
001828,010860,0.0032313535
001828,011188,0.0016097987
001828,011304,0.0020300010
001828,011550,0.0025382778
001828,011554,0.0020186271
001828,012428,0.0046281461
001828,012749,0.0038202528
001828,013353,0.0016555673
001828,013948,0.0038300483
001828,014390,0.0020751490
001828,014391,0.0017051476
001828,014433,0.0046190330
001828,014580,0.0044950765
001828,015321,0.0038811384
001828,016590,0.0046190330
001828,017525,0.0044128004
001828,018293,0.0047656482
001828,019774,0.0041315877
001828,023465,0.0020069645
001828,025792,0.0040053419
001828,026658,0.0046190330
001828,026676,0.0038202528
001828,027141,0.0038202528
001828,030282,0.0046190330
001828,030471,0.0050570845
001828,030538,0.0046190330
001828,030747,0.0010509176
001828,030874,0.0023335589
001828,039049,0.0038202528
001828,040614,0.0046190330
001828,043737,0.0014436982
001828,060844,0.0046350732
001828,064577,0.0038202528
001828,064625,0.0012749877
001828,064910,0.0035576531
001828,065092,0.0038202528
001828,065095,0.0038202528
001828,066624,0.0016097987
001828,100182,0.0013154163
001828,100251,0.0018811915
001828,100302,0.0031297822
001828,100365,0.0015619560
001828,100439,0.0020553732
001828,100450,0.0046796872
001828,100488,0.0034499510
001828,100688,0.0046830501
001828,100690,0.0021312632
001828,100953,0.0021202557
001828,100957,0.0028165824
001828,101769,0.0021608291
001828,102311,0.0015714810
001828,102797,0.0039202597
001828,103124,0.0014265966
001828,103133,0.0031871526
001828,103167,0.0023901798
001828,103342,0.0046376013
001828,104474,0.0034550520
001828,104652,0.0046190330
001828,104814,0.0046190330
001828,105632,0.0005371481
001828,111320,0.0021633033
001828,116304,0.0007443382
001828,123456,0.0036526054
001828,127675,0.0030121815
001828,135990,0.0027472314
001828,136684,0.0030524509
001828,144096,0.0046190330
001828,144646,0.0035543235
001828,146411,0.0046190330
001828,146774,0.0020069645
001828,152430,0.0038202528
001828,154941,0.0046190330
001828,155277,0.0016097987
001828,156656,0.0038202528
001828,156676,0.0014436982
001828,156818,0.0038202528
001828,156820,0.0018014392
001828,157373,0.0046717518
001828,179216,0.0047229544
001828,183187,0.0048021213
001828,200478,0.0063866703
001828,200908,0.0057192420
001828,201794,0.0045199359
001828,201913,0.0016097987
001828,202023,0.0046190330
001828,202071,0.0035392109
001828,202852,0.0046190330
001828,203894,0.0009278030
001828,205365,0.0016669974
001828,206346,0.0023988895
001828,207224,0.0063973545
001828,208117,0.0038207712
001828,211744,0.0019226484
001828,211761,0.0046190330
001828,211819,0.0068974685
001828,212928,0.0046190330
001828,212950,0.0046190330
001828,213510,0.0026208756
001828,213559,0.0054505368
001828,216524,0.0011114471
001828,216667,0.0007815919
001828,217202,0.0061593931
001828,217619,0.0046190330
001828,220942,0.0050816164
001828,221095,0.0036321903
001828,221498,0.0038202528
001828,222601,0.0047409313
001828,223040,0.0020344707
001828,225597,0.0014328010
001828,227226,0.0033051195
001828,227480,0.0015598843
001828,227916,0.0051770983
001828,243860,0.0038202528
001828,244341,0.0046190330
001828,244394,0.0000977695
001828,246094,0.0046190330
001828,246598,0.0030620418
001828,247493,0.0046190330
001828,247617,0.0015218384
001828,247642,0.0046190330
001828,248166,0.0046190330
001828,248838,0.0084169936
001828,249638,0.0021253823
001828,251319,0.0032130255
001828,251373,0.0000344039
001828,251378,0.0038513928
001828,251720,0.0038202528
001828,252355,0.0021010079
001828,252586,0.0043727649
001828,258639,0.0046190330
001828,259541,0.0018557002
001828,260021,0.0018703325
001828,260062,0.0034836270
001828,260071,0.0016097987
001828,260185,0.0038202528
001828,268325,0.0008566530
001828,269269,0.0038202528
001828,269532,0.0052083188
001828,270113,0.0005486585
001828,270379,0.0038627577
001828,270383,0.0008706912
001828,270698,0.0001323374
001828,270721,0.0046773834
001828,271031,0.0014553460
001828,271168,0.0008799112
001828,271762,0.0038202528
001828,272031,0.0045400316
001828,272146,0.0038202528
001828,272290,0.0005503882
001828,272327,0.0038202528
001828,272468,0.0001708357
001828,274166,0.0046190330
001828,274222,0.0046337649
001828,274724,0.0046190330
001828,274890,0.0043315651
001828,275034,0.0046190330
001828,277963,0.0021807515
001828,278508,0.0038202528
001828,278760,0.0046190330
001828,278784,0.0046190330
001828,279336,0.0057407209
001828,281492,0.0046190330
001828,282044,0.0048335787
001828,282813,0.0046190330
001828,285082,0.0038202528
001828,285323,0.0035392109
001828,285367,0.0020597644
001828,285686,0.0046580446
001828,285711,0.0046190330
001828,286048,0.0040407307
001828,287670,0.0046190330
001828,287673,0.0040205137
001828,287783,0.0067306141
001828,287982,0.0004839824
001828,288970,0.0007048291
001828,289434,0.0046190330
001828,290445,0.0000348827
001828,291049,0.0046190330
001828,292414,0.0038202528
001828,293530,0.0007318927
001828,293879,0.0046190330
001828,294656,0.0038202528
001828,294966,0.0004789616
001828,296299,0.0006547091
001828,298150,0.0071344145
001828,302945,0.0046190330
001828,312080,0.0038202528
001828,315416,0.0046190330
001828,315641,0.0023780395
001828,317115,0.0027677228
001828,317221,0.0063866703
001828,319717,0.0046190330
001828,319800,0.0009349646
001828,321632,0.0040325701
001828,321729,0.0019555850
001828,322685,0.0038202528
001828,323569,0.0046190330
001828,324676,0.0038202528
001828,325699,0.0054505368
001828,326073,0.0044448952
001828,326097,0.0009806502
001828,326109,0.0064106592
001828,326162,0.0033051195
001828,326582,0.0043765533
001828,326989,0.0002787082
001828,327477,0.0038202528
001828,327598,0.0038202528
001828,328809,0.0038202528
001828,329188,0.0034836270
001828,329260,0.0038202528
001828,330174,0.0031902408
001828,330659,0.0036985428
001828,332452,0.0046190330
001828,332463,0.0038202528
001828,333300,0.0038202528
001828,333753,0.0042196429
001828,335480,0.0038202528
001828,338093,0.0029346746
001828,338459,0.0038202528
001828,338892,0.0057407209
001828,339028,0.0038202528
001828,339091,0.0046190330
001828,342150,0.0038202528
001828,343320,0.0038202528
001828,345688,0.0048588145
001828,346000,0.0011629896
001828,346289,0.0038202528
001828,346354,0.0023107568
001828,347411,0.0048899213
001828,347460,0.0038202528
001828,347683,0.0038202528
001828,349595,0.0038202528
001828,350431,0.0046190330
001828,350660,0.0054545866
001828,351744,0.0063866703
001828,351868,0.0038202528
001828,352018,0.0002031338
001828,353306,0.0038202528
001828,353985,0.0038202528
001828,354081,0.0050634375
001828,354082,0.0034836270
001828,354786,0.0046190330
001828,355383,0.0038202528
001828,356341,0.0004996166
001828,356860,0.0045400316
001828,360898,0.0038202528
001828,362999,0.0038202528
001828,363653,0.0038202528
001828,364457,0.0032002586
001828,367697,0.0053859635
001828,368841,0.0009349646
001995,001075,0.0054704307
001995,001440,0.0021835819
001995,001828,0.0055861173
001995,003210,0.0000253790
001995,003392,0.0000253790
001995,003413,0.0069803466
001995,003439,0.0094334127
001995,003897,0.0026121908
001995,004029,0.0054344266
001995,004093,0.0047362036
001995,004517,0.0050498667
001995,004798,0.0000253790
001995,005385,0.0000253790
001995,005526,0.0101544925
001995,005742,0.0027332750
001995,005870,0.0040412459
001995,005914,0.0004539383
001995,006338,0.0037542813
001995,006397,0.0028618245
001995,006867,0.0000253790
001995,006932,0.0012796001
001995,007365,0.0099730932
001995,007366,0.0080404829
001995,007437,0.0000263428
001995,007974,0.0052032663
001995,007977,0.0048854058
001995,008001,0.0013009838
001995,008099,0.0050757994
001995,008113,0.0061274244
001995,008199,0.0003483278
001995,008264,0.0101544925
001995,008290,0.0000253790
001995,008455,0.0020916204
001995,008539,0.0028061744
001995,009691,0.0000253790
001995,009846,0.0073752742
001995,009850,0.0045576099
001995,009902,0.0017556044
001995,010447,0.0041447489
001995,010507,0.0000517218
001995,010801,0.0101544925
001995,010860,0.0039342429
001995,011188,0.0017828519
001995,011304,0.0025067429
001995,011550,0.0030960583
001995,011554,0.0024929877
001995,012428,0.0074948321
001995,012555,0.0000253790
001995,012612,0.0000253790
001995,013353,0.0017604455
001995,013948,0.0042714482
001995,014390,0.0021187649
001995,014391,0.0020478070
001995,014433,0.0101544925
001995,014580,0.0054615871
001995,015321,0.0040341469
001995,016590,0.0101544925
001995,017525,0.0030757441
001995,018293,0.0026287821
001995,019774,0.0034921139
001995,020739,0.0000253790
001995,023465,0.0000253790
001995,025792,0.0048702808
001995,026658,0.0089081501
001995,026676,0.0000253790
001995,027141,0.0000253790
001995,029039,0.0000263428
001995,030282,0.0066957802
001995,030471,0.0016857010
001995,030538,0.0059933167
001995,030747,0.0011225555
001995,030874,0.0025686818
001995,036790,0.0000253790
001995,039049,0.0000253790
001995,043737,0.0016396063
001995,060844,0.0101475329
001995,064625,0.0014427935
001995,064910,0.0043542386
001995,065095,0.0000253790
001995,065298,0.0000253790
001995,066624,0.0017828519
001995,100182,0.0016171670
001995,100251,0.0023267772
001995,100302,0.0036594166
001995,100365,0.0017384675
001995,100439,0.0023577077
001995,100450,0.0061369920
001995,100488,0.0040803151
001995,100688,0.0059873023
001995,100690,0.0024662643
001995,100953,0.0026083402
001995,100957,0.0020183700
001995,101769,0.0024773220
001995,102311,0.0017553967
001995,102797,0.0037263687
001995,102880,0.0000253790
001995,103124,0.0011773316
001995,103133,0.0038807877
001995,103167,0.0028140798
001995,103342,0.0070183668
001995,104474,0.0042047770
001995,104652,0.0100484738
001995,104814,0.0064808603
001995,105632,0.0000253790
001995,111320,0.0000497098
001995,114789,0.0000253790
001995,115687,0.0000253790
001995,116304,0.0009265226
001995,123456,0.0044436920
001995,127675,0.0036691830
001995,135990,0.0033741394
001995,136684,0.0000253790
001995,144096,0.0101544925
001995,144646,0.0043502120
001995,146411,0.0101544925
001995,146774,0.0000253790
001995,152430,0.0000517218
001995,154941,0.0101544925
001995,155277,0.0017828519
001995,156656,0.0000253790
001995,156676,0.0016396063
001995,156819,0.0000253790
001995,156820,0.0019979692
001995,157373,0.0058659434
001995,163429,0.0000263428
001995,163669,0.0000517218
001995,179216,0.0100805348
001995,183187,0.0075676699
001995,185429,0.0000263428
001995,200478,0.0041952742
001995,200908,0.0023483012
001995,201143,0.0000263428
001995,201794,0.0054424445
001995,201913,0.0017828519
001995,202019,0.0000253790
001995,202023,0.0101544925
001995,202071,0.0042017906
001995,202852,0.0069271979
001995,203894,0.0001774571
001995,205365,0.0018590026
001995,206346,0.0029528654
001995,207224,0.0041735693
001995,208117,0.0016004355
001995,208929,0.0000263428
001995,211744,0.0021011165
001995,211761,0.0101544925
001995,211819,0.0074507440
001995,212928,0.0101544925
001995,212950,0.0097330744
001995,213510,0.0000517218
001995,213559,0.0081452720
001995,216524,0.0013958719
001995,216667,0.0007861765
001995,217202,0.0040135190
001995,217619,0.0101544925
001995,220454,0.0000424616
001995,220942,0.0071570261
001995,221095,0.0003193424
001995,222601,0.0082542310
001995,223040,0.0024867694
001995,223041,0.0000263428
001995,225597,0.0008277546
001995,227226,0.0040488323
001995,227480,0.0017291754
001995,227916,0.0048803610
001995,233257,0.0000253790
001995,239577,0.0000253790
001995,243860,0.0000253790
001995,244341,0.0101544925
001995,244394,0.0001699612
001995,246094,0.0101544925
001995,246598,0.0037285187
001995,247493,0.0101544925
001995,247617,0.0017793463
001995,247642,0.0076749571
001995,248166,0.0075395247
001995,248838,0.0055591578
001995,249638,0.0019999793
001995,249946,0.0000517218
001995,251319,0.0013318189
001995,251373,0.0000471463
001995,251378,0.0035857244
001995,251720,0.0000263428
001995,252355,0.0004413416
001995,252586,0.0043270064
001995,253727,0.0000263428
