gvkey_i,gvkey_j,w_ij
001440,183187,0.005939
001440,201794,0.000351
001440,201913,0.005939
001440,202019,0.000879
001440,202071,0.005939
001440,203894,0.005939
001440,205365,0.005939
001440,208117,0.001288
001440,211744,0.005939
001440,211761,0.005939
001440,211819,0.005939
001440,213510,0.005939
001440,216524,0.000359
001440,216667,0.000636
001440,217202,0.005939
001440,220942,0.000840
001440,221498,0.005939
001440,225597,0.001472
001440,227226,0.005939
001440,227480,0.005939
001440,232532,0.005939
001440,239577,0.005939
001440,243860,0.005745
001440,246598,0.005939
001440,248166,0.000369
001440,248838,0.001003
001440,249456,0.005939
001440,251319,0.005939
001440,252355,0.005939
001440,252586,0.005939
001440,257082,0.005939
001440,260021,0.005939
001440,260062,0.005939
001440,260071,0.005939
001440,260185,0.005939
001440,268325,0.000311
001440,268844,0.005939
001440,269269,0.003698
001440,269532,0.000181
001440,270113,0.005939
001440,270379,0.005939
001440,270655,0.005939
001440,270698,0.005939
001440,271031,0.005939
001440,271168,0.005939
001440,271174,0.005939
001440,271952,0.005939
001440,272031,0.005939
001440,272146,0.005939
001440,272200,0.005939
001440,272327,0.005939
001440,272651,0.005939
001440,274222,0.000009
001440,278508,0.005939
001440,281712,0.000042
001440,285082,0.005939
001440,285323,0.005939
001440,285367,0.000291
001440,285686,0.000057
001440,286048,0.005939
001440,287783,0.002284
001440,287982,0.005939
001440,288128,0.005939
001440,290445,0.000035
001440,291049,0.000102
001440,291420,0.005939
001440,292414,0.005939
001440,303634,0.005939
001440,312080,0.005939
001440,315416,0.005939
001440,315641,0.005939
001440,317460,0.005939
001440,319800,0.005939
001440,324676,0.005939
001440,326073,0.005939
001440,326097,0.005258
001440,326109,0.005939
001440,326162,0.005939
001440,326558,0.005939
001440,326582,0.005939
001440,326989,0.005939
001440,327080,0.005939
001440,327477,0.005939
001440,327598,0.005939
001440,328809,0.003999
001440,329188,0.005939
001440,329260,0.004376
001440,329994,0.005939
001440,330018,0.005939
001440,330559,0.005939
001440,330659,0.005939
001440,330813,0.005939
001440,331125,0.005939
001440,332301,0.005939
001440,332452,0.005939
001440,333300,0.005939
001440,333753,0.005939
001440,333819,0.005939
001440,333995,0.005939
001440,335480,0.005939
001440,335504,0.005939
001440,338459,0.005939
001440,339028,0.005939
001440,342150,0.003948
001440,343320,0.005939
001440,345688,0.005939
001440,346263,0.005939
001440,346289,0.005939
001440,346354,0.005939
001440,346624,0.005939
001440,347266,0.005939
001440,347335,0.005939
001440,347411,0.005939
001440,347460,0.005939
001440,347683,0.005939
001440,347739,0.001579
001440,349471,0.005939
001440,349595,0.005939
001440,350660,0.002029
001440,351362,0.005939
001440,351868,0.005939
001440,352078,0.005939
001440,353306,0.005939
001440,353985,0.005939
001440,354041,0.005939
001440,354081,0.001329
001440,354082,0.005939
001440,355383,0.005939
001440,356341,0.005939
001440,356860,0.005939
001440,360898,0.005939
001440,362999,0.005939
001440,363653,0.005939
001440,364328,0.005939
001440,364457,0.005939
001440,365775,0.005939
001440,368841,0.005939
001742,001440,0.005939
001742,001745,0.005939
001742,001828,0.001513
001742,003210,0.000947
001742,003392,0.005939
001742,004029,0.000899
001742,004093,0.000464
001742,004241,0.005939
001742,004517,0.001296
001742,004798,0.005939
001742,004799,0.005939
001742,005135,0.005939
001742,005525,0.005939
001742,005742,0.000814
001742,005914,0.005939
001742,007366,0.000056
001742,007824,0.005939
001742,007977,0.000069
001742,008199,0.000627
001742,008539,0.002301
001742,008806,0.005939
001742,008810,0.005939
001742,009828,0.005939
001742,009850,0.000015
001742,009902,0.005939
001742,010327,0.005939
001742,010860,0.000283
001742,011188,0.005939
001742,011554,0.000951
001742,012555,0.005939
001742,012612,0.005939
001742,012749,0.005939
001742,013353,0.005939
001742,013948,0.000284
001742,014391,0.000109
001742,015321,0.000926
001742,020739,0.000493
001742,023465,0.005939
001742,025588,0.005939
001742,026658,0.001004
001742,027141,0.002871
001742,030874,0.005939
001742,039049,0.005939
001742,060844,0.000107
001742,064577,0.000821
001742,064625,0.005939
001742,065092,0.005939
001742,065095,0.003896
001742,065298,0.000020
001742,066624,0.005939
001742,100182,0.000063
001742,100251,0.000145
001742,100302,0.005939
001742,100365,0.005939
001742,100439,0.005939
001742,100450,0.005939
001742,100488,0.005939
001742,100688,0.005939
001742,100690,0.005939
001742,100953,0.000130
001742,100957,0.001573
001742,101769,0.005939
001742,102311,0.005939
001742,102797,0.000733
001742,103124,0.005939
001742,103133,0.001072
001742,104652,0.000025
001742,104814,0.000040
001742,105632,0.000093
001742,114789,0.005939
001742,115687,0.005939
001742,136684,0.000367
001742,144580,0.005939
001742,146774,0.005939
001742,152430,0.005939
001742,155277,0.005939
001742,156656,0.005939
001742,156818,0.005939
001742,157373,0.000072
001742,160913,0.005939
001742,180942,0.005939
001742,183187,0.005939
001742,201794,0.000351
001742,201913,0.005939
001742,202019,0.000879
001742,202071,0.005939
001742,203894,0.005939
001742,205365,0.005939
001742,208117,0.001288
001742,211744,0.005939
001742,211761,0.005939
001742,211819,0.005939
001742,213510,0.005939
001742,216524,0.000359
001742,216667,0.000636
001742,217202,0.005939
001742,220942,0.000840
001742,221498,0.005939
001742,225597,0.001472
001742,227226,0.005939
001742,227480,0.005939
001742,232532,0.005939
001742,239577,0.005939
001742,243860,0.005745
001742,246598,0.005939
001742,248166,0.000369
001742,248838,0.001003
001742,249456,0.005939
001742,251319,0.005939
001742,252355,0.005939
001742,252586,0.005939
001742,257082,0.005939
001742,260021,0.005939
001742,260062,0.005939
001742,260071,0.005939
001742,260185,0.005939
001742,268325,0.000311
001742,268844,0.005939
001742,269269,0.003698
001742,269532,0.000181
001742,270113,0.005939
001742,270379,0.005939
001742,270655,0.005939
001742,270698,0.005939
001742,271031,0.005939
001742,271168,0.005939
001742,271174,0.005939
001742,271952,0.005939
001742,272031,0.005939
001742,272146,0.005939
001742,272200,0.005939
001742,272327,0.005939
001742,272651,0.005939
001742,274222,0.000009
001742,278508,0.005939
001742,281712,0.000042
001742,285082,0.005939
001742,285323,0.005939
001742,285367,0.000291
001742,285686,0.000057
001742,286048,0.005939
001742,287783,0.002284
001742,287982,0.005939
001742,288128,0.005939
001742,290445,0.000035
001742,291049,0.000102
001742,291420,0.005939
001742,292414,0.005939
001742,303634,0.005939
001742,312080,0.005939
001742,315416,0.005939
001742,315641,0.005939
001742,317460,0.005939
001742,319800,0.005939
001742,324676,0.005939
001742,326073,0.005939
001742,326097,0.005258
001742,326109,0.005939
001742,326162,0.005939
001742,326558,0.005939
001742,326582,0.005939
001742,326989,0.005939
001742,327080,0.005939
001742,327477,0.005939
001742,327598,0.005939
001742,328809,0.003999
001742,329188,0.005939
001742,329260,0.004376
001742,329994,0.005939
001742,330018,0.005939
001742,330559,0.005939
001742,330659,0.005939
001742,330813,0.005939
001742,331125,0.005939
001742,332301,0.005939
001742,332452,0.005939
001742,333300,0.005939
001742,333753,0.005939
001742,333819,0.005939
001742,333995,0.005939
001742,335480,0.005939
001742,335504,0.005939
001742,338459,0.005939
001742,339028,0.005939
001742,342150,0.003948
001742,343320,0.005939
001742,345688,0.005939
001742,346263,0.005939
001742,346289,0.005939
001742,346354,0.005939
001742,346624,0.005939
001742,347266,0.005939
001742,347335,0.005939
001742,347411,0.005939
001742,347460,0.005939
001742,347683,0.005939
001742,347739,0.001579
001742,349471,0.005939
001742,349595,0.005939
001742,350660,0.002029
001742,351362,0.005939
001742,351868,0.005939
001742,352078,0.005939
001742,353306,0.005939
001742,353985,0.005939
001742,354041,0.005939
001742,354081,0.001329
001742,354082,0.005939
001742,355383,0.005939
001742,356341,0.005939
001742,356860,0.005939
001742,360898,0.005939
001742,362999,0.005939
001742,363653,0.005939
001742,364328,0.005939
001742,364457,0.005939
001742,365775,0.005939
001742,368841,0.005939
001745,001440,0.005939
001745,001742,0.005939
001745,001828,0.001513
001745,003210,0.000947
001745,003392,0.005939
001745,004029,0.000899
001745,004093,0.000464
001745,004241,0.005939
001745,004517,0.001296
001745,004798,0.005939
001745,004799,0.005939
001745,005135,0.005939
001745,005525,0.005939
001745,005742,0.000814
001745,005914,0.005939
001745,007366,0.000056
001745,007824,0.005939
001745,007977,0.000069
001745,008199,0.000627
001745,008539,0.002301
001745,008806,0.005939
001745,008810,0.005939
001745,009828,0.005939
001745,009850,0.000015
001745,009902,0.005939
001745,010327,0.005939
001745,010860,0.000283
001745,011188,0.005939
001745,011554,0.000951
001745,012555,0.005939
001745,012612,0.005939
001745,012749,0.005939
001745,013353,0.005939
001745,013948,0.000284
001745,014391,0.000109
001745,015321,0.000926
001745,020739,0.000493
001745,023465,0.005939
001745,025588,0.005939
001745,026658,0.001004
001745,027141,0.002871
001745,030874,0.005939
001745,039049,0.005939
001745,060844,0.000107
001745,064577,0.000821
001745,064625,0.005939
001745,065092,0.005939
001745,065095,0.003896
001745,065298,0.000020
001745,066624,0.005939
001745,100182,0.000063
001745,100251,0.000145
001745,100302,0.005939
001745,100365,0.005939
001745,100439,0.005939
001745,100450,0.005939
001745,100488,0.005939
001745,100688,0.005939
001745,100690,0.005939
001745,100953,0.000130
001745,100957,0.001573
001745,101769,0.005939
001745,102311,0.005939
001745,102797,0.000733
001745,103124,0.005939
001745,103133,0.001072
001745,104652,0.000025
001745,104814,0.000040
001745,105632,0.000093
001745,114789,0.005939
001745,115687,0.005939
001745,136684,0.000367
001745,144580,0.005939
001745,146774,0.005939
001745,152430,0.005939
001745,155277,0.005939
001745,156656,0.005939
001745,156818,0.005939
001745,157373,0.000072
001745,160913,0.005939
001745,180942,0.005939
001745,183187,0.005939
001745,201794,0.000351
001745,201913,0.005939
001745,202019,0.000879
001745,202071,0.005939
001745,203894,0.005939
001745,205365,0.005939
001745,208117,0.001288
001745,211744,0.005939
001745,211761,0.005939
001745,211819,0.005939
001745,213510,0.005939
001745,216524,0.000359
001745,216667,0.000636
001745,217202,0.005939
001745,220942,0.000840
001745,221498,0.005939
001745,225597,0.001472
001745,227226,0.005939
001745,227480,0.005939
001745,232532,0.005939
001745,239577,0.005939
001745,243860,0.005745
001745,246598,0.005939
001745,248166,0.000369
001745,248838,0.001003
001745,249456,0.005939
001745,251319,0.005939
001745,252355,0.005939
001745,252586,0.005939
001745,257082,0.005939
001745,260021,0.005939
001745,260062,0.005939
001745,260071,0.005939
001745,260185,0.005939
001745,268325,0.000311
001745,268844,0.005939
001745,269269,0.003698
001745,269532,0.000181
001745,270113,0.005939
001745,270379,0.005939
001745,270655,0.005939
001745,270698,0.005939
001745,271031,0.005939
001745,271168,0.005939
001745,271174,0.005939
001745,271952,0.005939
001745,272031,0.005939
001745,272146,0.005939
001745,272200,0.005939
001745,272327,0.005939
001745,272651,0.005939
001745,274222,0.000009
001745,278508,0.005939
001745,281712,0.000042
001745,285082,0.005939
001745,285323,0.005939
001745,285367,0.000291
